No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Steve Blake,PG,6-3,172,"February 26, 1980",us US,9,Maryland
24,Kobe Bryant,SG,6-6,212,"August 23, 1978",us US,16,
6,Earl Clark,PF,6-10,225,"January 17, 1988",us US,3,Louisville
21,Chris Duhon,PG,6-1,185,"August 31, 1982",us US,8,Duke
3,Devin Ebanks,SF,6-9,215,"October 28, 1989",us US,2,West Virginia
16,Pau Gasol,PF,7-0,250,"July 6, 1980",es ES,11,
0,Andrew Goudelock,SG,6-3,200,"December 7, 1988",us US,1,College of Charleston
27,Jordan Hill,PF,6-10,235,"July 27, 1987",us US,3,Arizona
12,Dwight Howard,C,6-10,265,"December 8, 1985",us US,8,
4,Antawn Jamison,PF,6-9,223,"June 12, 1976",us US,14,UNC
7,Darius Johnson-Odom,SG,6-2,215,"September 28, 1989",us US,R,Marquette
20,Jodie Meeks,SG,6-4,210,"August 21, 1987",us US,3,Kentucky
1,Darius Morris,PG,6-4,190,"January 3, 1991",us US,1,Michigan
10,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,16,Santa Clara
50,Robert Sacre,C,7-0,270,"June 6, 1989",us US,R,Gonzaga
15,Metta World Peace,SF,6-7,260,"November 13, 1979",us US,13,St. John's
