No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Andray Blatche,C,6-11,235,"August 22, 1986",us US,7,
10,Keith Bogans,SG,6-5,215,"May 12, 1980",us US,9,Kentucky
9,MarShon Brooks,SG,6-5,200,"January 26, 1989",us US,1,Providence
2,Josh Childress,SF,6-8,210,"June 20, 1983",us US,6,Stanford
30,Reggie Evans,PF,6-8,245,"May 18, 1980",us US,10,Iowa
43,Kris Humphries,PF,6-9,235,"February 6, 1985",us US,8,Minnesota
14,Damion James,SF,6-7,225,"October 7, 1987",us US,2,Texas
7,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,11,Arkansas
24,Kris Joseph,SF,6-7,210,"December 17, 1988",ca CA,R,Syracuse
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,4,Stanford
20,Tornike Shengelia,SF,6-9,217,"October 5, 1991",ge GE,R,
42,Jerry Stackhouse,SF,6-6,218,"November 5, 1974",us US,17,UNC
41,Tyshawn Taylor,PG,6-3,185,"April 12, 1990",us US,R,Kansas
33,Mirza Teletović,PF,6-9,242,"September 18, 1985",ba BA,R,
45,Gerald Wallace,SF,6-7,215,"July 23, 1982",us US,11,Alabama
1,C.J. Watson,PG,6-2,175,"April 17, 1984",us US,5,Tennessee
8,Deron Williams,PG,6-3,200,"June 26, 1984",us US,7,Illinois
