Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,28,DAL,14,0,204,4.8,10.2,.466,0.0,0.2,.000,4.8,10.1,.474,0.5,1.1,.500,2.5,4.6,7.1,3.7,1.1,0.5,1.2,4.6,10.1
2,Shareef Abdur-Rahim,PF,26,ATL,81,81,3087,6.6,13.8,.478,0.2,0.7,.350,6.4,13.1,.485,5.3,6.3,.841,2.0,5.9,7.9,2.8,1.0,0.4,2.5,2.8,18.8
3,Courtney Alexander,PG,25,NOH,66,7,1360,5.1,13.4,.382,0.5,1.5,.333,4.6,11.9,.388,3.1,3.9,.808,1.0,2.1,3.1,2.1,0.8,0.2,1.8,3.3,13.8
4,Malik Allen,PF,24,MIA,80,73,2318,5.2,12.3,.424,0.0,0.1,.000,5.2,12.2,.426,1.5,1.9,.802,2.1,4.5,6.6,0.8,0.6,1.2,2.0,3.6,11.9
5,Ray Allen*,SG,27,TOT,76,75,2880,7.5,17.0,.439,2.5,6.7,.377,5.0,10.4,.478,3.9,4.3,.916,1.2,3.6,4.8,4.2,1.3,0.2,2.5,2.7,21.4
5,Ray Allen*,SG,27,MIL,47,46,1683,7.5,17.2,.437,2.6,6.7,.395,4.9,10.5,.463,3.8,4.2,.913,1.0,3.7,4.7,3.5,1.2,0.2,2.5,3.2,21.5
5,Ray Allen*,SG,27,SEA,29,29,1197,7.4,16.8,.441,2.3,6.7,.351,5.1,10.2,.500,4.2,4.5,.920,1.5,3.4,4.9,5.1,1.4,0.1,2.4,2.1,21.4
6,Rafer Alston,PG,26,TOR,47,4,980,5.1,12.3,.415,1.9,4.8,.392,3.2,7.5,.429,1.4,2.0,.685,0.8,3.2,3.9,7.1,1.4,0.6,3.2,4.4,13.4
7,John Amaechi,C,32,UTA,50,1,474,2.8,9.0,.314,0.0,0.0,,2.8,9.0,.314,1.9,3.9,.481,2.0,3.9,5.8,1.6,1.1,0.5,2.6,3.8,7.5
8,Chris Andersen,C,24,DEN,59,3,907,4.5,11.3,.400,0.0,0.0,.000,4.5,11.3,.401,3.1,5.6,.550,4.3,6.5,10.9,1.3,1.2,2.4,2.4,3.6,12.1
9,Derek Anderson,PG,28,POR,76,76,2556,5.0,11.7,.427,1.6,4.7,.350,3.4,7.1,.477,3.3,3.8,.859,0.7,3.0,3.7,4.6,1.3,0.2,1.8,2.0,14.9
10,Kenny Anderson,PG,32,TOT,61,2,1135,5.2,12.1,.427,0.0,0.2,.143,5.1,11.9,.432,1.4,1.8,.789,1.0,3.2,4.2,6.3,1.8,0.2,2.4,3.4,11.8
10,Kenny Anderson,PG,32,SEA,38,1,689,5.3,12.1,.440,0.0,0.3,.000,5.3,11.9,.449,1.5,1.8,.829,0.9,3.7,4.5,6.3,2.1,0.1,1.7,3.3,12.2
10,Kenny Anderson,PG,32,NOH,23,1,446,4.9,12.1,.407,0.1,0.2,.500,4.8,11.9,.405,1.3,1.8,.727,1.1,2.5,3.6,6.2,1.5,0.3,3.4,3.5,11.2
11,Shandon Anderson,SF,29,NYK,82,9,1731,5.2,11.2,.462,1.1,2.9,.371,4.1,8.3,.494,2.9,4.0,.732,1.3,4.0,5.3,1.8,1.5,0.4,2.4,3.7,14.3
12,Robert Archibald,PF,22,MEM,12,0,72,3.0,10.0,.300,0.0,0.0,,3.0,10.0,.300,3.5,9.0,.389,3.0,5.5,8.5,1.5,0.0,1.5,3.5,4.5,9.5
13,Gilbert Arenas,PG,21,GSW,82,82,2866,6.4,14.8,.431,1.4,3.9,.348,5.0,10.9,.461,4.6,5.9,.791,1.2,3.6,4.8,6.5,1.6,0.2,3.6,3.3,18.8
