Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,73,28,1725,5.5,12.6,.439,1.2,3.3,.359,4.4,9.3,.468,1.6,2.7,.595,3.0,6.8,9.9,1.7,0.8,0.9,1.8,3.2,13.9
2,Steven Adams,C,28,MEM,76,75,1999,3.8,6.9,.547,0.0,0.0,.000,3.8,6.9,.548,1.9,3.6,.543,6.3,7.4,13.7,4.6,1.2,1.1,2.1,2.8,9.5
3,Bam Adebayo,C,24,MIA,56,56,1825,8.0,14.4,.557,0.0,0.1,.000,8.0,14.3,.562,5.0,6.7,.753,2.7,8.4,11.1,3.7,1.6,0.9,2.9,3.4,21.1
4,Santi Aldama,PF,21,MEM,32,0,360,5.3,13.2,.402,0.6,4.8,.125,4.7,8.4,.560,2.0,3.2,.625,3.3,5.4,8.7,2.1,0.6,1.0,1.6,3.6,13.2
5,LaMarcus Aldridge,C,36,BRK,47,12,1050,8.6,15.7,.550,0.5,1.6,.304,8.2,14.1,.578,3.1,3.5,.873,2.5,6.3,8.8,1.4,0.5,1.6,1.5,2.7,20.8
6,Nickeil Alexander-Walker,SG,23,TOT,65,21,1466,6.2,16.7,.372,2.6,8.3,.311,3.6,8.4,.433,2.0,2.7,.743,0.9,3.7,4.6,3.8,1.1,0.6,2.3,2.5,17.0
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,6.5,17.3,.375,2.6,8.3,.311,3.9,8.9,.434,1.9,2.7,.722,1.0,3.5,4.5,3.8,1.1,0.5,2.3,2.4,17.5
6,Nickeil Alexander-Walker,SG,23,UTA,15,2,149,3.9,11.6,.333,2.4,8.0,.303,1.4,3.6,.400,2.7,2.9,.917,0.2,5.3,5.6,4.1,1.2,1.0,1.9,3.6,12.8
7,Grayson Allen,SG,26,MIL,66,61,1805,5.1,11.3,.448,3.2,7.8,.409,1.9,3.6,.533,1.3,1.5,.865,0.6,3.8,4.4,2.0,0.9,0.4,0.9,1.9,14.6
8,Jarrett Allen,C,23,CLE,56,56,1810,7.3,10.8,.677,0.0,0.2,.100,7.3,10.6,.688,3.3,4.6,.708,3.8,8.2,12.0,1.8,0.9,1.5,1.9,1.9,18.0
9,Jose Alvarado,PG,23,NOP,54,1,834,5.7,12.7,.446,1.4,4.7,.291,4.3,7.9,.538,1.6,2.3,.679,1.1,3.2,4.3,6.6,3.1,0.3,1.7,3.2,14.2
10,Justin Anderson,SF,28,TOT,16,6,316,4.1,10.8,.379,1.7,6.7,.254,2.4,4.1,.583,1.7,2.2,.789,0.5,4.8,5.2,3.8,0.9,0.7,0.9,2.5,11.6
10,Justin Anderson,SF,28,CLE,3,0,47,3.1,6.1,.500,1.5,4.6,.333,1.5,1.5,1.000,2.3,3.1,.750,0.0,4.6,4.6,4.6,0.8,0.0,1.5,3.1,10.0
10,Justin Anderson,SF,28,IND,13,6,269,4.3,11.6,.368,1.7,7.1,.245,2.5,4.6,.559,1.6,2.0,.800,0.5,4.8,5.4,3.6,0.9,0.8,0.8,2.4,11.9
11,Kyle Anderson,PF,28,MEM,69,11,1484,5.1,11.4,.446,0.9,2.6,.330,4.2,8.7,.481,1.6,2.5,.638,1.7,7.3,8.9,4.4,1.9,1.1,1.7,2.6,12.6
12,Giannis Antetokounmpo,PF,27,MIL,67,67,2204,11.3,20.3,.553,1.2,4.0,.293,10.1,16.4,.616,9.0,12.5,.722,2.2,10.5,12.7,6.3,1.2,1.5,3.6,3.5,32.7
13,Thanasis Antetokounmpo,SF,29,MIL,48,6,473,5.3,9.7,.547,0.2,1.1,.143,5.2,8.7,.596,2.2,3.5,.630,3.0,4.6,7.7,1.7,1.2,0.9,2.0,5.2,13.0
14,Carmelo Anthony,PF,37,LAL,69,3,1793,6.4,14.5,.441,3.0,8.0,.375,3.4,6.5,.521,2.7,3.2,.830,1.2,4.5,5.8,1.4,0.9,1.0,1.2,3.3,18.5
15,Cole Anthony,PG,21,ORL,65,65,2059,6.2,15.9,.391,2.3,6.8,.338,3.9,9.1,.432,3.8,4.4,.854,0.6,5.5,6.1,6.5,0.8,0.3,3.0,3.0,18.6
16,OG Anunoby,SF,24,TOR,48,48,1728,6.4,14.5,.443,2.4,6.6,.363,4.0,7.9,.511,1.9,2.5,.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1
17,Ryan Arcidiacono,PG,27,NYK,10,0,76,2.8,5.7,.500,1.9,4.3,.444,0.9,1.4,.667,0.0,0.0,,0.0,3.8,3.8,1.9,0.5,0.0,1.4,2.4,7.6
18,Trevor Ariza,SF,36,LAL,24,11,462,2.6,7.7,.333,1.6,5.8,.270,1.0,1.9,.520,0.8,1.4,.556,0.8,5.6,6.4,2.1,1.0,0.5,0.9,1.6,7.5
19,D.J. Augustin,PG,34,TOT,55,2,883,3.8,9.1,.423,2.8,6.7,.415,1.1,2.4,.448,1.5,1.8,.884,0.4,2.3,2.8,4.4,0.7,0.0,2.3,1.6,12.0
19,D.J. Augustin,PG,34,HOU,34,2,510,3.9,9.6,.404,2.8,6.8,.406,1.1,2.8,.400,2.3,2.7,.868,0.5,2.4,2.9,5.2,0.7,0.0,3.2,1.2,12.8
19,D.J. Augustin,PG,34,LAL,21,0,373,3.8,8.3,.453,2.8,6.6,.426,1.0,1.7,.556,0.5,0.5,1.000,0.4,2.2,2.6,3.2,0.7,0.1,1.1,2.1,10.8
20,Deni Avdija,SF,21,WAS,82,8,1984,4.5,10.5,.432,1.5,4.7,.317,3.0,5.8,.525,1.9,2.5,.757,0.9,6.8,7.7,3.0,1.1,0.8,1.6,3.4,12.4
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Joel Ayayi,SG,21,WAS,7,0,20,1.8,10.8,.167,0.0,1.8,.000,1.8,9.0,.200,0.0,0.0,,1.8,3.6,5.4,7.2,0.0,0.0,0.0,0.0,3.6
22,Deandre Ayton,C,23,PHO,58,58,1713,9.3,14.6,.634,0.1,0.4,.368,9.1,14.2,.642,2.2,3.0,.746,3.1,9.3,12.5,1.8,0.8,0.8,1.9,3.0,21.0
23,Udoka Azubuike,C,22,UTA,17,6,195,6.8,9.0,.755,0.0,0.0,,6.8,9.0,.755,1.1,2.0,.545,3.3,9.8,13.1,0.0,0.2,2.0,2.2,4.6,14.8
24,Marvin Bagley III,PF,22,TOT,48,25,1153,7.0,13.9,.504,0.7,3.0,.237,6.3,10.9,.579,2.1,3.2,.663,3.3,7.3,10.6,1.1,0.7,0.6,1.2,2.9,16.9
24,Marvin Bagley III,PF,22,SAC,30,17,663,6.2,13.4,.463,0.8,3.4,.242,5.4,10.0,.538,1.9,2.6,.745,3.6,8.0,11.7,0.9,0.5,0.6,1.1,2.7,15.1
24,Marvin Bagley III,PF,22,DET,18,8,490,8.2,14.7,.555,0.6,2.6,.229,7.6,12.1,.624,2.4,4.0,.593,2.8,6.2,9.0,1.4,1.0,0.5,1.3,3.2,19.2
25,LaMelo Ball,PG,20,CHO,75,75,2422,8.0,18.6,.429,3.3,8.4,.389,4.7,10.2,.462,3.2,3.6,.872,1.6,5.8,7.4,8.5,1.8,0.4,3.6,3.5,22.4
26,Lonzo Ball,PG,24,CHI,35,35,1212,4.8,11.4,.423,3.3,7.7,.423,1.5,3.7,.423,0.6,0.8,.750,1.0,4.6,5.6,5.3,1.9,0.9,2.4,2.5,13.5
27,Mo Bamba,C,23,ORL,71,69,1824,5.8,12.2,.480,2.1,5.5,.381,3.7,6.6,.563,1.1,1.4,.781,2.9,8.4,11.3,1.7,0.7,2.3,1.5,3.6,14.9
28,Desmond Bane,SG,23,MEM,76,76,2266,8.1,17.5,.461,3.6,8.3,.436,4.4,9.2,.484,2.2,2.5,.903,0.7,4.6,5.3,3.3,1.5,0.5,1.8,3.1,22.0
29,Dalano Banton,PG,22,TOR,64,1,696,4.3,10.4,.411,0.7,2.6,.255,3.6,7.8,.464,1.3,2.3,.591,2.0,4.4,6.4,5.1,1.4,0.5,2.7,3.5,10.6
30,Cat Barber,PG,27,ATL,3,0,13,0.0,11.1,.000,0.0,0.0,,0.0,11.1,.000,0.0,11.1,.000,2.8,5.5,8.3,8.3,0.0,0.0,2.8,2.8,0.0
