Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Arron Afflalo,SG,24,DEN,82,75,2221,4.4,9.5,.465,1.8,4.0,.434,2.7,5.4,.488,1.2,1.6,.735,1.0,3.1,4.1,2.2,0.7,0.5,1.2,3.6,11.7
2,Alexis Ajinça,C,21,CHA,6,0,30,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,1.2,.000,1.2,3.6,4.8,0.0,1.2,1.2,2.4,6.0,12.0
3,LaMarcus Aldridge,PF,24,POR,78,78,2922,7.1,14.4,.495,0.1,0.2,.313,7.1,14.2,.498,2.8,3.7,.757,2.4,5.4,7.7,2.0,0.8,0.6,1.3,2.8,17.2
4,Joe Alexander,SF,23,CHI,8,0,29,1.2,7.4,.167,0.0,1.2,.000,1.2,6.2,.200,2.5,3.7,.667,2.5,3.7,6.2,2.5,1.2,1.2,0.0,11.2,5.0
5,Malik Allen,PF,31,DEN,51,3,456,3.6,9.2,.397,0.1,0.5,.167,3.6,8.7,.409,0.9,1.0,.923,2.8,3.6,6.5,1.3,0.9,0.4,1.7,5.4,8.3
6,Ray Allen*,SG,34,BOS,80,80,2819,5.9,12.4,.477,1.9,5.1,.363,4.1,7.3,.556,2.9,3.2,.913,0.6,2.7,3.2,2.7,0.8,0.3,1.6,2.3,16.7
7,Tony Allen,SG,28,BOS,54,8,889,5.2,10.2,.510,0.0,0.2,.000,5.2,10.0,.520,2.9,4.8,.605,2.1,3.8,5.9,2.9,2.4,0.8,2.7,4.4,13.4
8,Rafer Alston,PG,33,TOT,52,38,1421,3.9,11.3,.348,1.5,4.3,.345,2.5,7.0,.349,1.5,2.1,.728,0.3,2.9,3.3,4.5,1.3,0.3,2.4,2.6,10.8
8,Rafer Alston,PG,33,NJN,27,13,766,4.5,13.0,.343,1.3,4.1,.322,3.1,8.9,.353,2.1,2.5,.815,0.4,3.1,3.5,4.9,1.3,0.2,2.9,2.3,12.3
8,Rafer Alston,PG,33,MIA,25,25,655,3.3,9.3,.355,1.6,4.5,.370,1.6,4.8,.341,0.8,1.5,.556,0.2,2.7,3.0,4.0,1.3,0.3,1.9,2.9,9.1
9,Lou Amundson,PF,27,PHO,79,0,1168,4.7,8.5,.551,0.0,0.0,.000,4.7,8.5,.553,2.1,3.8,.545,3.9,6.7,10.7,1.0,0.7,2.3,1.8,5.2,11.4
10,Chris Andersen,PF,31,DEN,76,0,1695,3.0,5.3,.566,0.0,0.1,.000,3.0,5.3,.573,3.5,5.0,.695,3.1,7.1,10.3,0.7,0.9,3.0,1.3,3.6,9.5
11,David Andersen,C,29,HOU,63,0,891,5.9,13.7,.432,1.1,3.2,.346,4.8,10.6,.458,1.9,2.7,.687,2.2,6.2,8.4,1.8,0.6,0.5,1.5,4.8,14.8
12,Antonio Anderson,SF,24,OKC,1,0,15,2.4,7.2,.333,0.0,0.0,,2.4,7.2,.333,0.0,0.0,,2.4,0.0,2.4,0.0,0.0,0.0,2.4,2.4,4.8
13,Ryan Anderson,PF,21,ORL,63,6,911,6.7,15.3,.436,3.1,8.3,.370,3.6,7.0,.514,2.8,3.2,.866,2.8,5.2,8.0,1.5,1.0,0.6,2.2,3.2,19.2
14,Carmelo Anthony,SF,25,DEN,69,69,2634,9.4,20.5,.458,0.8,2.6,.316,8.6,18.0,.478,6.9,8.4,.830,2.1,4.1,6.2,3.0,1.2,0.4,2.9,3.1,26.6
15,Joel Anthony,C,27,MIA,80,16,1322,2.1,4.3,.478,0.0,0.0,,2.1,4.3,.478,1.8,2.5,.717,3.3,3.4,6.8,0.3,0.5,3.0,1.2,4.3,5.9
16,Gilbert Arenas,PG,28,WAS,32,32,1169,7.8,19.0,.411,1.9,5.6,.348,5.9,13.4,.437,4.7,6.4,.739,0.5,3.6,4.1,7.1,1.3,0.3,3.6,2.9,22.2
17,Trevor Ariza,SF,24,HOU,72,71,2629,5.4,13.7,.394,1.9,5.6,.334,3.5,8.1,.436,2.0,3.1,.649,1.1,4.5,5.5,3.8,1.7,0.5,2.2,2.2,14.7
18,Hilton Armstrong,PF-C,25,TOT,33,0,335,3.0,8.5,.354,0.0,0.1,.000,3.0,8.4,.359,1.6,3.4,.469,2.9,5.8,8.7,2.3,1.6,1.3,2.4,6.3,7.6
18,Hilton Armstrong,PF,25,NOH,18,0,239,2.9,7.5,.380,0.0,0.0,,2.9,7.5,.380,2.0,4.2,.464,2.6,6.6,9.2,2.4,1.2,1.2,2.0,6.6,7.7
18,Hilton Armstrong,C,25,SAC,6,0,56,2.6,7.7,.333,0.0,0.0,,2.6,7.7,.333,1.3,1.3,1.000,3.2,5.8,9.0,1.3,1.3,2.6,2.6,3.2,6.4
18,Hilton Armstrong,C,25,HOU,9,0,40,4.5,15.3,.294,0.0,0.9,.000,4.5,14.4,.313,0.0,1.8,.000,4.5,0.9,5.4,2.7,4.5,0.0,4.5,9.0,9.0
19,Carlos Arroyo,PG,30,MIA,72,35,1585,4.0,8.5,.475,0.2,0.6,.280,3.9,7.9,.489,1.7,2.0,.844,0.6,2.4,3.0,5.1,0.8,0.1,1.2,2.3,10.0
20,Darrell Arthur,PF,21,MEM,32,1,457,5.0,11.5,.432,0.0,0.1,.000,5.0,11.4,.434,1.3,2.4,.567,2.9,5.8,8.7,1.2,1.1,1.1,1.7,4.7,11.3
