Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,27,TOT,24,12,441,4.5,12.0,.374,0.1,0.2,.500,4.4,11.8,.372,2.0,2.7,.727,3.3,3.5,6.9,2.0,1.6,0.8,2.2,4.6,11.0
1,Tariq Abdul-Wahad,SG,27,DEN,20,12,417,4.7,12.5,.379,0.1,0.2,.500,4.7,12.3,.378,2.1,2.8,.750,3.4,3.4,6.7,1.9,1.6,0.8,2.1,4.4,11.7
1,Tariq Abdul-Wahad,SG,27,DAL,4,0,24,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,0.0,1.5,.000,3.0,6.0,9.0,3.0,3.0,1.5,4.5,7.5,0.0
2,Shareef Abdur-Rahim,PF,25,ATL,77,77,2980,7.2,15.7,.461,0.3,0.8,.300,7.0,14.8,.470,5.1,6.3,.801,2.4,6.0,8.4,2.9,1.2,1.0,3.0,2.6,19.8
3,Courtney Alexander,SG,24,WAS,56,28,1325,6.1,12.9,.470,0.1,0.5,.278,5.9,12.4,.478,2.7,3.3,.810,1.2,2.9,4.0,2.3,1.0,0.2,1.6,3.1,14.9
4,Victor Alexander,C,32,DET,15,0,97,6.7,18.9,.353,0.0,0.7,.000,6.7,18.2,.367,1.5,3.0,.500,2.6,8.2,10.8,2.2,0.0,0.4,1.9,2.2,14.8
5,Malik Allen,PF,23,MIA,12,2,161,4.9,11.4,.431,0.0,0.2,.000,4.9,11.2,.440,1.8,2.2,.800,3.4,5.1,8.5,1.1,0.7,1.8,0.4,3.6,11.6
6,Ray Allen*,SG,26,MIL,69,67,2525,7.6,16.4,.462,3.3,7.5,.434,4.3,8.8,.485,3.1,3.5,.873,1.2,3.3,4.4,3.9,1.3,0.3,2.3,2.2,21.4
7,Rafer Alston,PG,25,MIL,50,7,600,4.0,11.5,.346,1.6,4.3,.380,2.3,7.2,.325,1.1,1.7,.621,0.6,3.7,4.3,8.6,1.9,0.1,2.4,2.5,10.6
8,John Amaechi,PF,31,UTA,54,0,586,3.3,10.2,.325,0.0,0.0,,3.3,10.2,.325,4.1,6.5,.638,3.2,3.5,6.7,1.8,0.4,0.6,3.4,3.9,10.8
9,Chris Andersen,C,23,DEN,24,1,262,3.4,10.2,.338,0.0,0.5,.000,3.4,9.6,.357,3.0,3.8,.786,5.2,5.2,10.4,1.0,1.0,3.8,1.8,4.8,9.9
10,Derek Anderson,SG,27,POR,70,27,1860,4.8,11.8,.404,1.6,4.4,.373,3.1,7.4,.422,3.4,4.0,.856,0.9,2.7,3.7,4.2,1.3,0.2,1.7,2.2,14.7
11,Kenny Anderson,PG,31,BOS,76,76,2430,4.6,10.6,.436,0.1,0.5,.273,4.5,10.1,.444,1.5,2.0,.742,0.8,3.2,4.1,6.0,2.1,0.1,1.8,3.1,10.8
12,Nick Anderson,SG,34,MEM,15,0,219,3.5,12.5,.276,2.1,7.9,.271,1.3,4.6,.286,0.8,1.5,.556,0.2,5.3,5.4,2.3,1.0,1.0,2.3,2.8,9.9
13,Shandon Anderson,SG,28,NYK,82,6,1596,3.4,8.4,.399,0.9,3.2,.277,2.5,5.2,.474,1.7,2.4,.692,1.3,4.3,5.6,1.7,1.1,0.3,2.2,3.0,9.3
14,Greg Anthony,PG,34,TOT,60,38,1514,4.4,11.3,.385,1.1,3.9,.294,3.2,7.4,.433,1.4,2.2,.659,0.5,2.6,3.1,6.7,1.8,0.1,2.2,2.7,11.3
14,Greg Anthony,PG,34,CHI,36,35,961,4.2,10.8,.394,1.1,3.4,.322,3.1,7.4,.426,1.8,2.6,.671,0.6,2.7,3.3,7.6,1.8,0.1,2.2,2.7,11.3
14,Greg Anthony,PG,34,MIL,24,3,553,4.6,12.2,.372,1.2,4.8,.260,3.3,7.5,.443,0.8,1.4,.619,0.4,2.5,2.9,5.1,1.8,0.1,2.3,2.7,11.2
15,Gilbert Arenas,PG,20,GSW,47,30,1155,5.4,12.0,.453,1.2,3.5,.345,4.2,8.4,.498,3.9,5.0,.775,1.3,2.8,4.1,5.4,2.2,0.3,3.0,3.6,15.9
16,Brandon Armstrong,SG,21,NJN,35,0,196,5.0,15.6,.318,0.9,3.1,.294,4.0,12.5,.324,0.9,1.8,.500,1.8,1.1,2.9,1.5,1.3,0.2,1.5,4.8,11.8
17,Darrell Armstrong,PG,33,ORL,82,79,2730,4.6,10.9,.419,1.8,5.2,.349,2.7,5.7,.484,2.4,2.7,.888,1.1,3.1,4.2,6.0,2.1,0.1,2.3,2.2,13.4
18,Carlos Arroyo,PG,22,TOT,37,1,371,4.8,10.8,.441,0.0,0.2,.000,4.8,10.6,.450,1.3,1.7,.722,1.2,2.7,3.9,6.8,1.1,0.1,2.2,2.9,10.8
18,Carlos Arroyo,PG,22,TOR,17,0,96,4.9,10.9,.448,0.0,0.0,,4.9,10.9,.448,1.5,2.3,.667,1.1,3.4,4.5,7.9,2.3,0.0,4.5,4.5,11.3
18,Carlos Arroyo,PG,22,DEN,20,1,275,4.7,10.7,.439,0.0,0.3,.000,4.7,10.5,.450,1.2,1.6,.750,1.2,2.5,3.7,6.4,0.7,0.1,1.4,2.4,10.6
19,Chucky Atkins,PG,27,DET,79,62,2285,5.8,12.4,.466,2.2,5.3,.411,3.6,7.2,.507,1.3,1.9,.692,0.5,2.0,2.5,4.1,1.1,0.2,2.0,2.8,15.1
20,Stacey Augmon,SG,33,CHH,77,3,1319,3.8,9.0,.427,0.0,0.1,.000,3.8,8.9,.431,2.1,2.8,.762,1.6,4.5,6.1,2.8,1.5,0.3,1.5,3.1,9.7
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
21,Isaac Austin,C,32,MEM,21,8,307,4.2,10.8,.391,0.0,0.4,.000,4.2,10.4,.404,0.5,0.5,1.000,1.3,7.0,8.3,1.5,1.1,0.6,1.3,4.2,8.9
