Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF-C,24,TOT,74,18,1624,5.2,10.4,.501,0.6,2.2,.268,4.6,8.2,.562,1.5,2.5,.616,4.2,6.6,10.8,2.2,1.0,1.5,1.8,3.2,12.5
1,Precious Achiuwa,C,24,TOR,25,0,437,6.4,14.0,.459,1.1,3.9,.277,5.4,10.1,.528,2.0,3.5,.571,4.1,7.1,11.2,3.6,1.3,1.0,2.4,3.3,15.9
1,Precious Achiuwa,PF,24,NYK,49,18,1187,4.8,9.1,.525,0.4,1.5,.260,4.4,7.6,.578,1.4,2.1,.643,4.3,6.4,10.6,1.6,0.9,1.7,1.6,3.1,11.3
2,Bam Adebayo,C,26,MIA,71,71,2416,7.9,15.2,.521,0.2,0.6,.357,7.7,14.5,.528,4.4,5.8,.755,2.4,8.6,11.0,4.1,1.2,1.0,2.4,2.4,20.4
3,Ochai Agbaji,SG,23,TOT,78,28,1641,3.9,9.5,.411,1.4,4.6,.294,2.5,4.9,.523,0.8,1.2,.661,1.6,3.1,4.7,1.8,1.0,1.0,1.4,2.6,10.0
3,Ochai Agbaji,SG,23,UTA,51,10,1003,3.8,8.9,.426,1.7,5.1,.331,2.1,3.8,.551,0.5,0.7,.750,1.3,3.3,4.5,1.7,1.0,1.0,1.2,2.4,9.8
3,Ochai Agbaji,SG,23,TOR,27,18,638,4.1,10.4,.391,0.8,3.9,.217,3.2,6.5,.496,1.2,2.0,.611,2.2,2.9,5.1,2.0,1.1,0.8,1.7,2.9,10.2
4,Santi Aldama,PF,23,MEM,61,35,1618,5.5,12.6,.435,2.4,6.8,.349,3.1,5.9,.534,1.2,1.9,.621,1.6,6.2,7.8,3.1,1.0,1.2,1.5,2.0,14.6
5,Nickeil Alexander-Walker,SG,25,MIN,82,20,1921,4.4,10.1,.439,2.5,6.3,.391,2.0,3.8,.517,1.0,1.2,.800,0.7,2.5,3.1,3.8,1.2,0.8,1.4,2.7,12.3
6,Grayson Allen,SG,28,PHO,75,74,2513,4.9,9.8,.499,2.9,6.4,.461,1.9,3.4,.570,1.8,2.1,.878,0.7,3.5,4.2,3.3,1.0,0.6,1.4,2.2,14.5
