Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,27,TOT,85,56,2684,6.7,14.1,.475,0.1,0.5,.265,6.6,13.7,.482,5.0,5.8,.869,2.5,6.0,8.6,2.3,0.9,0.5,2.5,3.0,18.6
1,Shareef Abdur-Rahim,PF,27,ATL,53,53,1956,7.0,14.5,.485,0.1,0.4,.217,7.0,14.1,.493,5.4,6.1,.880,2.6,6.5,9.1,2.3,0.8,0.3,2.4,2.7,19.6
1,Shareef Abdur-Rahim,PF,27,POR,32,3,728,5.8,13.1,.447,0.2,0.5,.364,5.6,12.5,.451,3.9,4.7,.832,2.4,4.7,7.1,2.3,1.2,0.9,2.6,3.7,15.8
2,Malik Allen,PF,25,MIA,45,6,616,4.9,11.6,.419,0.0,0.0,,4.9,11.6,.419,1.5,1.9,.758,2.5,4.5,7.0,0.9,0.7,1.6,1.6,4.7,11.2
3,Ray Allen*,SG,28,SEA,56,56,2152,7.5,17.0,.440,2.5,6.3,.392,5.0,10.7,.468,4.1,4.5,.904,1.2,3.6,4.8,4.5,1.2,0.2,2.6,2.2,21.5
4,Rafer Alston,PG,27,MIA,82,28,2581,4.0,10.7,.376,2.2,6.1,.371,1.8,4.6,.382,1.4,1.9,.769,0.4,2.8,3.2,5.2,1.6,0.3,1.8,3.0,11.7
5,Chris Andersen,PF,25,DEN,71,0,1029,3.1,7.1,.443,0.0,0.0,.000,3.1,7.1,.446,2.2,3.7,.589,3.1,7.3,10.4,1.2,1.2,4.0,1.7,4.2,8.5
6,Derek Anderson,SG,29,POR,51,46,1810,4.6,12.2,.376,1.6,5.2,.305,3.0,7.0,.428,3.1,3.7,.824,0.5,3.1,3.6,4.5,1.3,0.1,1.8,1.6,13.8
7,Kenny Anderson,PG,33,IND,44,31,905,4.5,10.2,.441,0.0,0.2,.250,4.5,10.0,.444,1.4,1.9,.729,0.8,2.5,3.2,5.0,1.0,0.2,2.0,2.9,10.4
8,Shandon Anderson,SG,30,NYK,80,37,1974,4.3,10.3,.422,0.7,2.3,.281,3.7,8.0,.463,2.2,2.9,.764,1.0,3.1,4.0,2.2,1.2,0.3,2.2,3.3,11.6
