Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Mahmoud Abdul-Rauf,PG,31,VAN,41,0,486,8.9,18.2,.488,0.3,1.0,.286,8.6,17.2,.500,1.6,2.1,.759,0.4,1.5,1.9,5.6,0.7,0.1,1.9,3.7,19.7
2,Tariq Abdul-Wahad,SG,26,DEN,29,12,420,3.7,9.5,.387,0.3,0.9,.400,3.3,8.7,.386,1.8,3.1,.583,1.2,3.9,5.1,1.9,1.2,1.1,2.9,4.6,9.5
3,Shareef Abdur-Rahim,SF,24,VAN,81,81,3241,6.7,14.2,.472,0.1,0.7,.188,6.6,13.5,.487,4.9,5.9,.834,1.9,6.2,8.2,2.8,1.0,0.9,2.6,2.6,18.5
4,Cory Alexander,PG,27,ORL,26,0,227,2.9,8.9,.321,0.6,2.5,.250,2.2,6.3,.350,1.9,2.9,.667,0.0,4.0,4.0,5.7,2.5,0.0,4.0,4.6,8.2
5,Courtney Alexander,PG,23,TOT,65,24,1382,6.2,14.9,.417,0.4,1.2,.370,5.8,13.7,.421,3.2,3.9,.820,1.1,2.6,3.7,1.6,1.2,0.1,2.0,3.6,16.1
5,Courtney Alexander,PG,23,DAL,38,6,472,4.7,13.6,.348,0.2,0.8,.300,4.5,12.8,.351,2.5,3.4,.733,1.5,3.3,4.8,1.6,1.2,0.2,1.6,5.8,12.2
5,Courtney Alexander,PG,23,WAS,27,18,910,7.0,15.6,.448,0.6,1.4,.389,6.4,14.2,.454,3.6,4.2,.857,0.9,2.3,3.2,1.6,1.1,0.1,2.1,2.5,18.1
6,Ray Allen*,SG,25,MIL,82,82,3129,7.2,15.1,.480,2.3,5.4,.433,4.9,9.7,.506,4.0,4.5,.888,1.2,3.8,4.9,4.3,1.4,0.2,2.3,2.2,20.8
7,Rafer Alston,PG,24,MIL,37,2,288,3.7,10.5,.357,1.0,3.7,.267,2.7,6.8,.407,1.1,1.6,.692,0.5,3.4,3.9,8.5,1.6,0.0,2.5,3.4,9.6
8,John Amaechi,C,30,ORL,82,36,1710,5.0,12.5,.400,0.0,0.1,.000,5.0,12.3,.405,3.7,5.9,.631,1.6,4.0,5.6,1.6,0.6,0.6,2.6,3.7,13.7
