Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,29,SAC,72,30,1961,6.1,11.6,.525,0.1,0.4,.227,6.0,11.2,.536,4.0,5.1,.784,1.9,4.6,6.6,2.7,0.9,0.8,2.0,4.2,16.3
2,Alex Acker,SG,23,DET,5,0,35,4.1,16.5,.250,1.0,5.1,.200,3.1,11.3,.273,0.0,0.0,,1.0,4.1,5.1,4.1,1.0,0.0,4.1,4.1,9.3
3,Malik Allen,PF,27,CHI,54,20,701,6.2,12.7,.490,0.1,0.1,1.000,6.2,12.6,.488,1.2,2.0,.605,2.3,4.9,7.2,1.0,0.7,0.8,1.7,4.7,13.7
4,Ray Allen*,SG,30,SEA,78,78,3022,8.1,17.9,.454,3.2,7.8,.412,4.9,10.1,.486,3.9,4.3,.903,0.8,3.1,4.0,3.4,1.3,0.2,2.2,1.8,23.3
5,Tony Allen,PG,24,BOS,51,9,978,4.7,10.1,.471,0.4,1.3,.324,4.3,8.8,.492,3.7,4.9,.746,1.2,2.9,4.1,2.5,1.9,0.7,2.5,4.6,13.6
6,Rafer Alston,PG,29,HOU,63,63,2431,4.1,10.9,.379,1.5,4.6,.327,2.6,6.3,.418,1.5,2.1,.692,0.5,3.2,3.8,6.3,1.5,0.2,2.3,2.9,11.3
7,Chris Andersen,C,27,NOK,32,2,570,3.5,6.2,.571,0.0,0.0,,3.5,6.2,.571,3.1,6.5,.476,3.9,5.9,9.8,0.4,0.5,2.6,1.6,5.3,10.2
8,Alan Anderson,SF,23,CHA,36,7,564,4.8,11.6,.414,1.5,3.7,.414,3.3,7.9,.415,2.1,2.6,.805,1.5,3.0,4.5,2.0,0.7,0.3,2.0,3.1,13.2
9,Derek Anderson,SG,31,TOT,43,11,1047,3.7,10.4,.356,1.4,4.6,.299,2.3,5.8,.402,3.2,3.8,.838,0.7,4.2,4.9,3.5,0.8,0.2,1.9,3.4,12.0
9,Derek Anderson,SG,31,HOU,20,8,582,4.2,10.7,.393,1.2,4.1,.284,3.0,6.6,.462,3.8,4.5,.836,0.7,4.4,5.1,3.3,0.9,0.2,2.3,3.0,13.4
9,Derek Anderson,SG,31,MIA,23,3,465,3.1,10.1,.308,1.6,5.2,.313,1.5,4.9,.302,2.5,2.9,.842,0.7,3.9,4.6,3.7,0.6,0.2,1.3,3.8,10.3
10,Shandon Anderson,SF,32,MIA,48,1,638,3.0,7.1,.429,0.3,1.1,.263,2.8,6.0,.458,0.7,1.0,.722,1.0,3.6,4.6,1.7,1.0,0.3,1.4,4.2,7.1
11,Martynas Andriuškevičius,C,19,CLE,6,0,9,0.0,4.0,.000,0.0,0.0,,0.0,4.0,.000,0.0,0.0,,4.0,12.0,16.0,0.0,8.0,0.0,0.0,4.0,0.0
12,Carmelo Anthony,SF,21,DEN,80,80,2941,9.3,19.2,.481,0.5,1.9,.243,8.8,17.4,.506,7.0,8.7,.808,1.5,3.3,4.8,2.6,1.1,0.5,2.7,2.8,26.0
13,Rafael Araújo,C,25,TOR,52,34,601,3.2,8.7,.366,0.0,0.1,.000,3.2,8.6,.368,0.9,1.7,.536,2.6,6.0,8.6,0.9,1.4,0.4,2.5,6.2,7.2
