Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Acker,SG,26,TOT,25,0,199,5.4,13.7,.395,1.3,3.6,.350,4.2,10.1,.411,0.9,1.8,.500,1.4,2.9,4.3,2.2,0.9,0.7,1.3,1.6,13.0
1,Alex Acker,SG,26,DET,7,0,20,7.2,19.8,.364,0.0,7.2,.000,7.2,12.6,.571,1.8,3.6,.500,0.0,3.6,3.6,1.8,3.6,1.8,0.0,0.0,16.2
1,Alex Acker,SG,26,LAC,18,0,179,5.2,13.1,.400,1.4,3.2,.438,3.8,9.9,.388,0.8,1.6,.500,1.6,2.8,4.4,2.2,0.6,0.6,1.4,1.8,12.7
2,Hassan Adams,SG,24,TOR,12,0,52,2.8,9.0,.308,0.0,0.0,,2.8,9.0,.308,2.1,4.2,.500,0.7,4.2,4.8,0.7,0.7,0.7,2.8,2.8,7.6
3,Arron Afflalo,SG,23,DET,74,8,1234,3.8,8.8,.437,1.3,3.1,.402,2.6,5.6,.456,1.7,2.1,.817,0.9,3.0,3.9,1.3,0.8,0.4,1.3,4.2,10.6
4,Maurice Ager,SG,24,NJN,20,0,97,5.6,16.0,.349,0.0,2.2,.000,5.6,13.7,.405,1.5,3.0,.500,1.1,2.6,3.7,1.1,0.4,0.7,1.5,6.3,12.6
5,Blake Ahearn,PG,24,SAS,3,0,19,3.8,11.4,.333,3.8,7.6,.500,0.0,3.8,.000,3.8,3.8,1.000,0.0,1.9,1.9,3.8,1.9,0.0,1.9,5.7,15.2
6,Alexis Ajinça,PF,20,CHA,31,4,182,4.9,13.6,.362,0.0,0.4,.000,4.9,13.3,.373,4.0,5.5,.714,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8
7,LaMarcus Aldridge,PF,23,POR,81,81,3004,7.2,14.9,.484,0.1,0.3,.250,7.1,14.6,.489,3.1,4.0,.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6
8,Joe Alexander,SF,22,MIL,59,0,716,5.1,12.3,.416,0.8,2.3,.348,4.3,10.0,.432,2.9,4.2,.699,2.2,3.6,5.8,2.1,0.8,1.5,2.6,5.4,14.0
