Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Shareef Abdur-Rahim,PF,28,POR,54,49,1867,6.5,12.9,.503,0.3,0.8,.385,6.2,12.2,.510,4.2,4.9,.866,2.4,5.2,7.6,2.1,0.9,0.5,2.3,2.9,17.5
2,Cory Alexander,SG,31,CHA,16,1,201,2.9,8.8,.327,1.4,3.4,.421,1.4,5.4,.267,1.6,2.1,.750,1.4,3.8,5.2,6.6,1.6,0.2,3.4,5.2,8.8
3,Malik Allen,PF,26,TOT,36,1,519,5.8,12.3,.475,0.0,0.0,,5.8,12.3,.475,1.8,1.9,.929,2.8,4.1,6.9,1.2,0.6,1.5,1.2,3.7,13.5
3,Malik Allen,PF,26,MIA,14,0,248,5.1,11.0,.461,0.0,0.0,,5.1,11.0,.461,1.9,2.0,.929,3.5,4.1,7.5,1.6,0.6,1.6,1.6,4.2,12.0
3,Malik Allen,PF,26,CHA,22,1,271,6.5,13.4,.485,0.0,0.0,,6.5,13.4,.485,1.7,1.9,.929,2.1,4.1,6.2,0.9,0.7,1.5,0.9,3.2,14.7
4,Ray Allen*,SG,29,SEA,78,78,3064,7.5,17.6,.428,2.5,6.5,.376,5.1,11.0,.459,4.4,5.0,.883,0.9,3.1,4.1,3.4,1.0,0.1,2.0,2.0,21.9
5,Tony Allen,SG,23,BOS,77,34,1262,5.2,11.0,.475,0.3,0.9,.387,4.9,10.2,.483,3.2,4.3,.737,2.4,3.9,6.3,1.8,2.2,0.7,2.2,4.5,14.0
6,Rafer Alston,PG,28,TOR,80,78,2717,5.3,12.9,.414,1.8,5.2,.357,3.5,7.8,.451,2.5,3.4,.740,0.6,3.1,3.7,6.8,1.6,0.1,2.3,2.8,15.1
7,Chris Andersen,C,26,NOH,67,2,1430,4.8,9.0,.534,0.0,0.1,.000,4.8,8.9,.538,3.3,4.8,.689,3.4,6.9,10.3,1.8,0.4,2.5,1.6,3.6,12.9
8,Derek Anderson,SG,30,POR,47,32,1239,4.4,11.4,.389,1.7,4.4,.384,2.7,7.0,.392,2.0,2.5,.805,0.7,3.0,3.7,4.2,1.0,0.1,2.0,2.6,12.6
9,Kenny Anderson,PG,34,TOT,43,20,743,4.1,9.7,.423,0.3,0.6,.462,3.8,9.1,.420,1.3,1.8,.730,1.2,3.1,4.3,5.0,1.6,0.0,2.4,4.2,9.8
9,Kenny Anderson,PG,34,ATL,39,20,717,4.1,9.5,.426,0.3,0.7,.462,3.8,8.9,.424,1.4,1.9,.730,1.2,3.0,4.2,4.9,1.7,0.0,2.3,4.1,9.8
9,Kenny Anderson,PG,34,LAC,4,0,26,5.5,15.2,.364,0.0,0.0,,5.5,15.2,.364,0.0,0.0,,1.4,5.5,6.9,6.9,0.0,0.0,4.2,8.3,11.1
10,Shandon Anderson,SF-SG,31,TOT,66,5,1171,3.0,6.7,.452,0.2,0.9,.172,2.9,5.8,.495,1.7,2.0,.818,1.3,4.6,5.9,2.2,1.2,0.4,1.5,4.2,7.8
10,Shandon Anderson,SG,31,NYK,1,0,20,0.0,3.6,.000,0.0,1.8,.000,0.0,1.8,.000,0.0,0.0,,1.8,0.0,1.8,0.0,0.0,0.0,1.8,3.6,0.0
10,Shandon Anderson,SF,31,MIA,65,5,1151,3.1,6.7,.456,0.2,0.9,.179,2.9,5.8,.497,1.7,2.1,.818,1.3,4.7,5.9,2.2,1.3,0.4,1.5,4.3,8.0
11,Carmelo Anthony,SF,20,DEN,75,75,2608,7.3,17.0,.431,0.6,2.2,.266,6.7,14.8,.455,6.3,7.9,.796,1.9,3.9,5.9,2.7,0.9,0.4,3.1,3.2,21.5
12,Rafael Araújo,C,24,TOR,59,41,736,3.7,8.6,.434,0.0,0.1,.333,3.7,8.4,.436,2.1,2.7,.782,2.9,6.2,9.0,0.8,1.0,0.4,2.5,7.7,9.6
13,Gilbert Arenas,PG,23,WAS,80,80,3274,7.2,16.7,.431,2.3,6.2,.365,5.0,10.6,.469,5.7,7.0,.814,0.9,3.2,4.2,4.5,1.5,0.3,2.7,2.7,22.4
14,Trevor Ariza,SF,19,NYK,80,12,1382,4.5,10.1,.442,0.1,0.3,.231,4.4,9.8,.449,3.2,4.5,.695,2.3,4.0,6.3,2.2,1.8,0.5,1.9,3.9,12.2
15,Darrell Armstrong,PG,36,TOT,66,16,988,3.2,10.1,.321,1.0,4.0,.252,2.2,6.0,.367,2.1,2.5,.853,1.3,2.9,4.2,6.5,1.6,0.3,2.4,3.4,9.6
15,Darrell Armstrong,PG,36,NOH,14,9,412,4.6,13.9,.333,1.5,6.1,.243,3.1,7.8,.404,1.7,1.8,.905,1.4,2.8,4.2,5.7,1.3,0.2,2.4,2.6,12.4
15,Darrell Armstrong,PG,36,DAL,52,7,576,2.3,7.4,.305,0.7,2.6,.268,1.6,4.8,.325,2.4,2.9,.830,1.2,3.0,4.2,7.1,1.9,0.4,2.4,3.9,7.6
16,Carlos Arroyo,PG,25,TOT,70,16,1448,4.2,10.7,.389,0.2,0.7,.267,4.0,9.9,.398,3.0,3.7,.799,0.6,1.9,2.6,7.0,1.1,0.1,2.7,3.6,11.5
16,Carlos Arroyo,PG,25,UTA,30,16,742,4.5,11.3,.401,0.3,0.9,.389,4.2,10.4,.402,2.6,3.1,.841,0.5,1.7,2.2,7.4,1.0,0.1,2.7,3.3,11.9
16,Carlos Arroyo,PG,25,DET,40,0,706,3.8,10.0,.376,0.1,0.6,.083,3.7,9.4,.395,3.4,4.4,.767,0.8,2.2,3.0,6.5,1.2,0.1,2.7,3.9,11.0
17,Chucky Atkins,PG,30,LAL,82,82,2903,4.8,11.3,.426,2.2,5.6,.387,2.6,5.6,.466,2.0,2.5,.803,0.4,2.1,2.4,4.4,0.9,0.0,1.9,2.2,13.8
18,Stacey Augmon,SF,36,ORL,55,7,663,3.7,9.1,.407,0.0,0.0,,3.7,9.1,.407,3.1,4.2,.740,2.4,2.9,5.4,2.0,1.2,0.4,1.7,4.5,10.5
19,Maurice Baker,PG,25,TOT,5,0,19,0.0,1.9,.000,0.0,0.0,,0.0,1.9,.000,0.0,0.0,,1.9,1.9,3.8,1.9,1.9,0.0,1.9,5.7,0.0
19,Maurice Baker,PG,25,LAC,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Maurice Baker,PG,25,POR,4,0,18,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,0.0,0.0,,2.0,2.0,4.0,2.0,2.0,0.0,2.0,6.0,0.0
20,Vin Baker,PF-C,33,TOT,27,0,204,2.3,7.4,.310,0.0,0.2,.000,2.3,7.2,.317,1.6,3.0,.529,3.0,3.9,6.9,1.8,0.4,0.7,3.0,6.7,6.2
20,Vin Baker,PF,33,NYK,24,0,191,2.5,7.2,.342,0.0,0.2,.000,2.5,7.0,.351,1.3,2.8,.467,3.2,3.8,7.0,1.7,0.4,0.8,2.8,5.8,6.2
20,Vin Baker,C,33,HOU,3,0,13,0.0,11.1,.000,0.0,0.0,,0.0,11.1,.000,5.5,5.5,1.000,0.0,5.5,5.5,2.8,0.0,0.0,5.5,19.4,5.5
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
