Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Tariq Abdul-Wahad,SG,25,TOT,61,56,1578,6.3,14.7,.424,0.1,0.5,.130,6.2,14.2,.435,3.3,4.4,.756,2.3,4.3,6.6,2.2,1.3,0.6,2.4,3.4,15.9
1,Tariq Abdul-Wahad,SG,25,ORL,46,46,1205,6.7,15.4,.433,0.1,0.6,.095,6.6,14.8,.447,3.4,4.5,.762,2.3,4.8,7.1,2.2,1.6,0.5,2.6,3.5,16.8
1,Tariq Abdul-Wahad,SG,25,DEN,15,10,373,4.9,12.6,.389,0.1,0.2,.500,4.8,12.5,.388,3.0,4.1,.738,2.3,2.7,5.0,2.5,0.6,1.2,1.8,3.0,12.9
2,Shareef Abdur-Rahim,SF,23,VAN,82,82,3223,6.6,14.3,.465,0.3,1.1,.302,6.3,13.2,.478,5.0,6.2,.809,2.4,6.8,9.2,3.0,1.0,1.0,2.8,2.7,18.6
3,Cory Alexander,PG,26,DEN,29,2,329,3.1,10.7,.286,1.0,3.8,.257,2.1,6.9,.302,1.9,2.4,.773,0.9,3.7,4.6,6.3,2.6,0.2,3.1,4.3,9.0
4,Ray Allen*,SG,24,MIL,82,82,3070,7.5,16.5,.455,2.0,4.8,.423,5.5,11.8,.468,4.1,4.7,.887,1.0,3.2,4.2,3.6,1.3,0.2,2.1,2.2,21.2
5,Rafer Alston,PG,23,MIL,27,0,361,2.7,9.5,.284,0.3,1.4,.214,2.4,8.1,.296,0.3,0.4,.750,0.5,1.8,2.3,7.0,1.2,0.0,2.9,2.9,6.0
6,John Amaechi,C,29,ORL,80,53,1684,6.5,15.0,.437,0.0,0.1,.167,6.5,14.8,.439,4.8,6.2,.766,1.3,4.4,5.7,2.0,0.7,0.8,3.0,3.4,17.9
7,Derek Anderson,SG,25,LAC,64,58,2201,6.2,14.1,.438,0.9,2.9,.309,5.3,11.2,.472,4.4,5.1,.877,1.3,2.9,4.2,3.6,1.5,0.2,2.7,2.4,17.7
8,Kenny Anderson,PG,29,BOS,82,82,2593,6.0,13.7,.440,1.2,3.1,.386,4.8,10.6,.456,2.7,3.5,.775,0.8,2.4,3.1,5.8,1.9,0.1,1.8,3.2,16.0
9,Nick Anderson,SG,32,SAC,72,72,2094,5.3,13.4,.391,2.3,6.8,.332,3.0,6.6,.452,0.6,1.3,.487,1.4,4.4,5.8,2.1,1.6,0.3,1.6,2.0,13.4
10,Shandon Anderson,SF,26,HOU,82,82,2700,4.9,10.4,.473,1.1,3.0,.351,3.9,7.4,.523,2.6,3.4,.767,1.2,3.9,5.1,3.2,1.3,0.4,2.6,2.4,13.5
