No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
30,Earl Barron,C,7-0,250,"August 14, 1981",us US,4,Memphis
0,Aaron Brooks,PG,6-0,161,"January 14, 1985",us US,3,Oregon
25,Vince Carter,SG,6-6,220,"January 26, 1977",us US,12,UNC
1,Josh Childress,SG,6-8,210,"June 20, 1983",us US,4,Stanford
55,Earl Clark,SF,6-10,225,"January 17, 1988",us US,1,Louisville
22,Zabian Dowdell,PG,6-3,191,"September 10, 1984",us US,R,Virginia Tech
2,Goran Dragić,PG,6-4,190,"May 6, 1986",si SI,2,
3,Jared Dudley,SF,6-6,237,"July 10, 1985",us US,3,Boston College
8,Channing Frye,PF,7-0,255,"May 17, 1983",us US,5,Arizona
4,Marcin Gortat,C,6-11,240,"February 17, 1984",pl PL,3,
33,Grant Hill,SF,6-8,225,"October 5, 1972",us US,15,Duke
31,Gani Lawal,PF,6-9,234,"November 7, 1988",us US,R,Georgia Tech
15,Robin Lopez,C,7-1,281,"April 1, 1988",us US,2,Stanford
13,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,14,Santa Clara
12,Mickaël Piétrus,SG,6-6,215,"February 7, 1982",gp GP,7,
23,Jason Richardson,SG,6-6,220,"January 20, 1981",us US,9,Michigan State
20,Garret Siler,C,6-11,305,"October 25, 1986",us US,R,Augusta State University
19,Hedo Türkoğlu,PF,6-10,220,"March 19, 1979",tr TR,10,
21,Hakim Warrick,PF,6-9,219,"July 8, 1982",us US,5,Syracuse
