No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
42,Alexis Ajinça,C,7-2,248,"May 6, 1988",fr FR,2,
50,Solomon Alabi,C,7-1,251,"March 21, 1988",ng NG,R,Florida State
13,David Andersen,PF,6-11,245,"June 23, 1980",au AU,1,
3,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,7,UNLV
20,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br BR,7,
7,Andrea Bargnani,C,7-0,245,"October 26, 1985",it IT,4,
5,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us US,2,Arizona
8,José Calderón,PG,6-3,200,"September 28, 1981",es ES,5,
32,Ed Davis,PF,6-9,218,"June 5, 1989",us US,R,UNC
10,DeMar DeRozan,SG,6-6,220,"August 7, 1989",us US,1,USC
9,Joey Dorsey,C,6-8,268,"December 16, 1983",us US,2,Memphis
12,Ronald Dupree,SF,6-7,209,"January 26, 1981",us US,5,LSU
30,Reggie Evans,PF,6-8,245,"May 18, 1980",us US,8,Iowa
2,Sundiata Gaines,PG,6-1,185,"April 18, 1986",us US,1,Georgia
1,Jarrett Jack,PG,6-3,200,"October 28, 1983",us US,5,Georgia Tech
15,Amir Johnson,PF,6-9,240,"May 1, 1987",us US,5,
0,James Johnson,SF,6-7,240,"February 20, 1987",us US,1,Wake Forest
12,Trey Johnson,SG,6-5,218,"August 30, 1984",us US,1,"Alcorn State, Jackson State University"
11,Linas Kleiza,SF,6-8,245,"January 3, 1985",lt LT,4,Missouri
16,Peja Stojaković,SF,6-10,229,"June 9, 1977",hr HR,12,
24,Sonny Weems,SF,6-6,205,"July 8, 1986",us US,2,Arkansas
14,Julian Wright,SF,6-8,225,"May 20, 1987",us US,3,Kansas
