No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
18,Omri Casspi,SF,6-9,225,"June 22, 1988",il IL,1,
15,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us US,R,Kentucky
10,Samuel Dalembert,C,6-11,255,"May 10, 1981",ht HT,8,Seton Hall
13,Tyreke Evans,SG,6-6,220,"September 19, 1989",us US,1,Memphis
32,Francisco García,SF,6-7,195,"December 31, 1981",do DO,5,Louisville
20,Donté Greene,SF,6-11,226,"February 21, 1988",de DE,2,Syracuse
9,Luther Head,PG,6-3,185,"November 26, 1982",us US,5,Illinois
41,Darnell Jackson,PF,6-9,253,"November 7, 1985",us US,2,Kansas
5,Eugene Jeter,PG,5-11,175,"December 2, 1983",us US,R,University of Portland
24,Carl Landry,PF,6-9,248,"September 19, 1983",us US,3,"Vincennes University, Purdue"
3,Jermaine Taylor,SG,6-4,210,"December 8, 1986",us US,1,Central Florida
34,Jason Thompson,PF,6-11,250,"July 21, 1986",us US,2,Rider University
23,Marcus Thornton,SG,6-4,205,"June 5, 1987",us US,1,LSU
19,Beno Udrih,PG,6-3,205,"July 5, 1982",si SI,6,
33,Hassan Whiteside,C,7-0,265,"June 13, 1989",us US,R,Marshall
3,Antoine Wright,SG,6-7,210,"February 6, 1984",us US,5,Texas A&M
