No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
30,Earl Barron,C,7-0,250,"August 14, 1981",us US,4,Memphis
6,Andrew Bogut,C,7-0,260,"November 28, 1984",au AU,5,Utah
11,Earl Boykins,PG,5-5,135,"June 2, 1976",us US,11,Eastern Michigan
40,Jon Brockman,C,6-7,255,"March 20, 1987",us US,1,Washington
10,Carlos Delfino,SF,6-6,230,"August 29, 1982",ar AR,5,
55,Keyon Dooling,PG,6-3,196,"May 8, 1980",us US,10,Missouri
17,Chris Douglas-Roberts,SF,6-7,200,"January 8, 1987",us US,2,Memphis
0,Drew Gooden,PF,6-10,250,"September 24, 1981",us US,8,Kansas
7,Ersan İlyasova,PF,6-9,235,"May 15, 1987",tr TR,2,
3,Brandon Jennings,PG,6-1,170,"September 23, 1989",us US,1,
5,Corey Maggette,SF,6-6,218,"November 12, 1979",us US,11,Duke
12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",cm CM,2,UCLA
22,Michael Redd,SG,6-6,220,"August 24, 1979",us US,10,Ohio State
15,John Salmons,SG,6-7,210,"December 12, 1979",us US,8,Miami (FL)
8,Larry Sanders,C,6-11,235,"November 21, 1988",us US,R,VCU
54,Brian Skinner,C,6-9,255,"May 19, 1976",us US,12,Baylor
41,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,1,LSU
