No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Shane Battier,SF,6-8,220,"September 9, 1978",us US,9,Duke
0,Aaron Brooks,PG,6-0,161,"January 14, 1985",us US,3,Oregon
10,Chase Budinger,SF,6-7,209,"May 22, 1988",us US,1,Arizona
0,DeMarre Carroll,PF,6-6,215,"July 27, 1986",us US,1,"Vanderbilt, Missouri"
3,Goran Dragić,PG,6-4,190,"May 6, 1986",si SI,2,
33,Mike Harris,PF,6-6,240,"June 15, 1983",us US,2,Rice University
44,Chuck Hayes,C,6-6,240,"June 11, 1983",us US,5,Kentucky
27,Jordan Hill,C,6-10,235,"July 27, 1987",us US,1,Arizona
20,Jared Jeffries,PF,6-11,230,"November 25, 1981",us US,8,Indiana
5,Courtney Lee,SG,6-5,215,"October 3, 1985",us US,2,Western Kentucky
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,4,Villanova
12,Kevin Martin,SG,6-7,199,"February 1, 1983",us US,6,Western Carolina University
52,Brad Miller,C,6-11,244,"April 12, 1976",us US,12,Purdue
11,Yao Ming,C,7-6,310,"September 12, 1980",cn CN,7,
54,Patrick Patterson,PF,6-8,235,"March 14, 1989",us US,R,Kentucky
4,Luis Scola,PF,6-9,240,"April 30, 1980",ar AR,3,
13,Ish Smith,PG,6-0,175,"July 5, 1988",us US,R,Wake Forest
8,Jermaine Taylor,SG,6-4,210,"December 8, 1986",us US,1,Central Florida
32,Hasheem Thabeet,C,7-3,263,"February 16, 1987",tz TZ,1,UConn
1,Terrence Williams,SG,6-6,220,"June 28, 1987",us US,1,Louisville
