No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,2,Duke
1,Kyle Anderson,PF,6-9,230,"September 20, 1993",us US,6,UCLA
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us US,R,TCU
24,Dillon Brooks,SF,6-6,225,"January 22, 1996",ca CA,3,Oregon
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,1,"San Jose State, Gonzaga"
14,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,7,Louisville
10,Tim Frazier,PG,6-0,170,"November 1, 1990",us US,6,Penn State
13,Jaren Jackson Jr.,C,6-10,242,"September 15, 1999",us US,2,Michigan State
21,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,5,Duke
46,John Konchar,SG,6-5,210,"March 22, 1996",us US,1,Purdue-Fort Wayne
30,Sean McDermott,SF,6-6,195,"November 3, 1996",us US,R,Butler
0,De'Anthony Melton,PG,6-2,200,"May 28, 1998",us US,2,USC
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,1,Murray State
4,Jontay Porter,PF,6-11,240,"November 15, 1999",us US,R,Missouri
35,Killian Tillie,C,6-9,220,"March 5, 1998",fr FR,R,Gonzaga
2,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us US,R,Michigan State
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,8,
7,Justise Winslow,SF,6-6,222,"March 26, 1996",us US,5,Duke
