No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
00,Carmelo Anthony,PF,6-7,238,"May 29, 1984",us US,17,Syracuse
21,Keljin Blevins,SF,6-4,200,"November 24, 1995",us US,R,"Southern Miss, Montana State"
23,Robert Covington,PF,6-7,209,"December 14, 1990",us US,7,Tennessee State
16,CJ Elleby,SF,6-6,200,"June 16, 2000",us US,R,Washington State
11,Enes Freedom,C,6-10,250,"May 20, 1992",ch CH,9,Kentucky
4,Harry Giles,C,6-11,240,"April 22, 1998",us US,2,Duke
2,Rondae Hollis-Jefferson,PF,6-6,217,"January 3, 1995",us US,5,Arizona
5,Rodney Hood,SF,6-8,208,"October 20, 1992",us US,6,"Mississippi State, Duke"
"5, 55",Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us US,4,UNLV
18,T.J. Leaf,PF,6-10,222,"April 30, 1997",il IL,3,UCLA
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us US,8,Weber State
9,Nassir Little,PF,6-5,220,"February 11, 2000",us US,1,UNC
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us US,7,Lehigh
27,Jusuf Nurkić,C,7-0,290,"August 23, 1994",ba BA,6,
24,Norman Powell,SF,6-3,215,"May 25, 1993",us US,5,UCLA
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us US,2,
2,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us US,2,Duke
