No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb GB,3,Indiana
46,Aron Baynes,C,6-10,260,"December 9, 1986",nz NZ,8,Washington State
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,4,Saint Joseph's
24,Khem Birch,C,6-9,233,"September 28, 1992",ca CA,3,"Pitt, UNLV"
25,Chris Boucher,C,6-9,200,"January 11, 1993",lc LC,3,Oregon
0,Terence Davis,SG,6-4,201,"May 16, 1997",us US,1,Ole Miss
44,Henry Ellenson,PF,6-10,240,"January 13, 1997",us US,4,Marquette
8,Malachi Flynn,PG,6-1,175,"May 10, 1998",us US,R,"Washington State, San Diego State"
55,Freddie Gillespie,PF,6-9,245,"June 14, 1997",us US,R,"Carleton College, Baylor"
2,Jalen Harris,SG,6-5,195,"August 14, 1998",us US,R,"Nevada, Louisiana Tech"
32,Rodney Hood,SF,6-8,208,"October 20, 1992",us US,6,"Mississippi State, Duke"
5,Stanley Johnson,PF,6-6,242,"May 29, 1996",us US,5,Arizona
27,Alex Len,C,7-0,250,"June 16, 1993",ua UA,7,Maryland
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,14,Villanova
22,Patrick McCaw,SF,6-7,181,"October 25, 1995",us US,4,UNLV
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,5,UCLA
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cm CM,4,New Mexico State
21,Matt Thomas,SG,6-4,190,"August 4, 1994",us US,1,Iowa State
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us US,2,Duke
23,Fred VanVleet,SG,6-0,197,"February 25, 1994",us US,4,Wichita State
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp JP,2,George Washington
1,Paul Watson,SF,6-6,210,"December 30, 1994",us US,1,Fresno State
