No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
5,Will Barton,SF,6-5,181,"January 6, 1991",us US,8,Memphis
10,Bol Bol,PF,7-3,220,"November 16, 1999",sd SD,1,Oregon
7,Facundo Campazzo,PG,5-10,195,"March 23, 1991",ar AR,R,
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si SI,1,
6,Gary Clark,SF,6-6,225,"November 16, 1994",us US,2,Cincinnati
35,PJ Dozier,SG,6-6,205,"October 25, 1996",us US,3,South Carolina
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,6,Arizona
0,JaMychal Green,PF,6-8,227,"June 21, 1990",us US,6,Alabama
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,R,
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,6,Michigan State
3,Shaquille Harrison,SG,6-4,190,"October 6, 1993",us US,3,Tulsa
25,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,2,
0,Markus Howard,SG,5-10,175,"March 3, 1999",us US,R,Marquette
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rs RS,5,
34,JaVale McGee,C,7-0,270,"January 19, 1988",us US,12,Nevada
4,Paul Millsap,PF,6-7,257,"February 10, 1985",us US,14,Louisiana Tech
11,Monte Morris,PG,6-2,183,"June 27, 1995",us US,3,Iowa State
27,Jamal Murray,PG,6-4,215,"February 23, 1997",ca CA,4,Kentucky
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us US,R,Arizona
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us US,1,Missouri
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,8,Duke
3,Greg Whittington,PF,6-8,210,"February 7, 1993",us US,R,Georgetown
