No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Avery Bradley,SG,6-3,180,"November 26, 1990",us US,6,Texas
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,R,California
99,Jae Crowder,SF,6-6,235,"July 6, 1990",us US,4,Marquette
30,Gerald Green,SF,6-6,205,"January 26, 1986",us US,9,
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,9,Florida
9,Demetrius Jackson,PG,6-1,201,"September 7, 1994",us US,R,Notre Dame
8,Jonas Jerebko,PF,6-10,231,"March 2, 1987",se SE,6,
90,Amir Johnson,PF,6-9,240,"May 1, 1987",us US,11,
55,Jordan Mickey,PF,6-8,235,"July 9, 1994",us US,1,LSU
41,Kelly Olynyk,C,6-11,240,"April 19, 1991",ca CA,3,Gonzaga
12,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,1,Louisville
36,Marcus Smart,SG,6-3,220,"March 6, 1994",us US,2,Oklahoma State
4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us US,5,Washington
13,James Young,SG,6-6,215,"August 16, 1995",us US,2,Kentucky
44,Tyler Zeller,C,7-0,253,"January 17, 1990",us US,4,UNC
