No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Jimmy Butler,SF,6-7,230,"September 14, 1989",us US,5,Marquette
0,Isaiah Canaan,SG,6-0,201,"May 21, 1991",us US,3,Murray State
7,Michael Carter-Williams,PG,6-5,190,"October 10, 1991",us US,3,Syracuse
6,Cristiano Felício,C,6-11,270,"July 7, 1992",br BR,1,
22,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,7,USC
2,Jerian Grant,PG,6-4,205,"October 9, 1992",us US,1,Notre Dame
31,R.J. Hunter,SG,6-5,185,"October 24, 1993",us US,1,Georgia State University
77,Joffrey Lauvergne,C,6-11,220,"September 30, 1991",fr FR,2,
8,Robin Lopez,C,7-1,281,"April 1, 1988",us US,8,Stanford
11,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,2,Creighton
44,Nikola Mirotić,PF,6-10,250,"February 11, 1991",me ME,2,
11,Anthony Morrow,SG,6-5,210,"September 27, 1985",us US,8,Georgia Tech
22,Cameron Payne,PG,6-3,183,"August 8, 1994",us US,1,Murray State
5,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,1,Arkansas
9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,10,Kentucky
45,Denzel Valentine,SG,6-4,220,"November 16, 1993",us US,R,Michigan State
3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us US,13,Marquette
16,Paul Zipser,SF,6-8,215,"February 18, 1994",de DE,R,
