No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
13,Quincy Acy,PF,6-7,240,"October 6, 1990",us US,4,Baylor
13,Anthony Bennett,PF,6-8,245,"March 14, 1993",ca CA,3,UNLV
44,Bojan Bogdanović,SF,6-7,226,"April 18, 1989",ba BA,2,
35,Trevor Booker,PF,6-8,228,"November 25, 1987",us US,6,Clemson
8,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,2,Colorado
10,Yogi Ferrell,PG,6-0,178,"May 9, 1993",us US,R,Indiana
2,Randy Foye,SG,6-4,213,"September 24, 1983",us US,10,Villanova
10,Archie Goodwin,SG,6-5,200,"August 17, 1994",us US,3,Kentucky
41,Justin Hamilton,C,7-0,260,"April 1, 1990",us US,2,"Iowa State, LSU"
12,Joe Harris,SG,6-6,220,"September 6, 1991",us US,2,Virginia
24,Rondae Hollis-Jefferson,SF,6-6,217,"January 3, 1995",us US,1,Arizona
6,Sean Kilpatrick,SG,6-4,210,"January 6, 1990",us US,2,Cincinnati
22,Caris LeVert,SF,6-6,205,"August 25, 1994",us US,R,Michigan
7,Jeremy Lin,PG,6-3,200,"August 23, 1988",us US,6,Harvard University
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,8,Stanford
1,Chris McCullough,PF,6-11,200,"February 5, 1995",us US,1,Syracuse
14,K.J. McDaniels,SF,6-6,205,"February 9, 1993",us US,2,Clemson
44,Andrew Nicholson,PF,6-9,250,"December 8, 1989",ca CA,4,St. Bonaventure
4,Luis Scola,PF,6-9,240,"April 30, 1980",ar AR,9,
21,Greivis Vásquez,PG,6-6,217,"January 16, 1987",ve VE,6,Maryland
15,Isaiah Whitehead,PG,6-4,213,"March 8, 1995",us US,R,Seton Hall
