No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
45,Cole Aldrich,C,6-11,250,"October 31, 1988",us US,6,Kansas
88,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",rs RS,1,
18,Omri Casspi,PF,6-9,225,"June 22, 1988",il IL,7,
5,Gorgui Dieng,PF,6-10,252,"January 18, 1990",sn SN,3,Louisville
3,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,R,Providence
27,Jordan Hill,C,6-10,235,"July 27, 1987",us US,7,Arizona
1,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,1,Duke
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,2,UCLA
11,John Lucas III,PG,5-11,166,"November 21, 1982",us US,7,"Baylor, Oklahoma State"
15,Shabazz Muhammad,SF,6-6,223,"November 13, 1992",us US,3,UCLA
33,Adreian Payne,PF,6-10,237,"February 19, 1991",us US,2,Michigan State
9,Ricky Rubio,PG,6-2,190,"October 21, 1990",es ES,5,
4,Brandon Rush,SG,6-6,220,"July 7, 1985",us US,8,Kansas
7,Lance Stephenson,SG,6-6,230,"September 5, 1990",us US,6,Cincinnati
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,1,Kentucky
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,2,Kansas
