No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Drew Barry,PG,6-5,191,"February 17, 1973",us US,2,Georgia Tech
3,Cal Bowdler,SF,6-10,245,"March 31, 1977",us US,R,Old Dominion
12,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,9,Virginia Tech
4,Chris Crawford,PF,6-9,235,"May 13, 1975",us US,2,Marquette
20,LaPhonso Ellis,PF,6-8,240,"May 5, 1970",us US,7,Notre Dame
5,Dion Glover,SG,6-5,228,"October 22, 1978",us US,R,Georgia Tech
44,Alan Henderson,PF,6-9,235,"December 2, 1972",us US,4,Indiana
22,Jim Jackson,SF,6-6,220,"October 14, 1970",us US,7,Ohio State
24,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,2,College of Charleston
7,Roshown McLeod,SF,6-8,221,"November 17, 1975",us US,1,"St. John's, Duke"
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,8,Georgetown
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,6,UNLV
31,Jason Terry,PG,6-2,185,"September 15, 1977",us US,R,Arizona
42,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,3,Memphis
