No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
23,Pete Chilcutt,PF,6-10,230,"September 14, 1968",us US,8,UNC
10,Howard Eisley,PG,6-2,177,"December 4, 1972",us US,5,Boston College
5,Armen Gilliam,PF,6-9,230,"May 28, 1964",us US,12,UNLV
14,Jeff Hornacek,SG,6-4,190,"May 3, 1963",us US,13,Iowa State
31,Adam Keefe,C,6-9,230,"February 22, 1970",us US,7,Stanford
20,Quincy Lewis,SG,6-7,215,"June 26, 1977",us US,R,Minnesota
32,Karl Malone,PF,6-9,250,"July 24, 1963",us US,14,Louisiana Tech
39,Greg Ostertag,C,7-2,280,"March 6, 1973",us US,4,Kansas
34,Scott Padgett,PF,6-9,240,"April 19, 1976",us US,R,Kentucky
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,12,Virginia
3,Bryon Russell,SF,6-7,225,"December 31, 1970",us US,6,Cal State Long Beach
12,John Stockton,PG,6-1,170,"March 26, 1962",us US,15,Gonzaga
11,Jacque Vaughn,PG,6-1,190,"February 11, 1975",us US,2,Kansas
