No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,10,Arizona
12,Speedy Claxton,PG,5-11,166,"May 8, 1978",us US,6,Hofstra
1,Maurice Evans,SF,6-5,220,"November 8, 1978",us US,5,"Wichita State, Texas"
3,Thomas Gardner,SG,6-5,225,"February 8, 1985",us US,1,Missouri
15,Al Horford,C,6-9,240,"June 3, 1986",do DO,1,Florida
50,Othello Hunter,PF,6-8,225,"May 28, 1986",us US,R,Ohio State
2,Joe Johnson,SG,6-7,240,"June 29, 1981",us US,7,Arkansas
44,Solomon Jones,C,6-10,230,"July 16, 1984",us US,2,South Florida
4,Acie Law,PG,6-3,195,"January 25, 1985",us US,1,Texas A&M
33,Randolph Morris,C,6-10,266,"January 2, 1986",us US,2,Kentucky
22,Ronald Murray,SG,6-4,190,"July 29, 1979",us US,6,"Meridian Community College, Shaw"
27,Zaza Pachulia,C,6-11,270,"February 10, 1984",ge GE,5,
5,Josh Smith,PF,6-9,225,"December 5, 1985",us US,4,
6,Mario West,SG,6-5,210,"June 19, 1984",us US,1,Georgia Tech
24,Marvin Williams,SF,6-8,237,"June 19, 1986",us US,3,UNC
