No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Joel Anthony,C,6-9,245,"August 9, 1982",ca CA,1,UNLV
5,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,5,UNLV
30,Michael Beasley,PF,6-9,235,"January 9, 1989",us US,R,Kansas State
15,Mark Blount,C,7-0,230,"November 30, 1975",us US,8,Pitt
6,Mario Chalmers,PG,6-2,190,"May 19, 1986",us US,R,Kansas
14,Daequan Cook,SF,6-5,205,"April 28, 1987",us US,1,Ohio State
9,Yakhouba Diawara,SF,6-7,225,"August 29, 1982",fr FR,2,Pepperdine
40,Udonis Haslem,PF,6-8,235,"June 9, 1980",us US,5,Florida
13,Luther Head,SG,6-3,185,"November 26, 1982",us US,3,Illinois
22,James Jones,SF,6-8,218,"October 4, 1980",us US,5,Miami (FL)
8,Shaun Livingston,PG,6-7,192,"September 11, 1985",us US,3,
21,Jamaal Magloire,C,6-11,259,"May 21, 1978",ca CA,8,Kentucky
7,Shawn Marion,SF,6-7,220,"May 7, 1978",us US,9,"Vincennes University, UNLV"
8,Jamario Moon,SF,6-8,205,"June 13, 1980",us US,1,Meridian Community College
7,Jermaine O'Neal,C,6-11,226,"October 13, 1978",us US,12,
11,Chris Quinn,PG,6-2,185,"September 27, 1983",us US,2,Notre Dame
3,Dwyane Wade,SG,6-4,220,"January 17, 1982",us US,5,Marquette
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us US,4,
