No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Hassan Adams,SG,6-4,220,"June 20, 1984",us US,1,Arizona
3,Marcus Banks,PG,6-2,200,"November 19, 1981",us US,5,UNLV
7,Andrea Bargnani,PF,7-0,245,"October 26, 1985",it IT,2,
4,Chris Bosh,C,6-11,235,"March 24, 1984",us US,5,Georgia Tech
8,José Calderón,PG,6-3,200,"September 28, 1981",es ES,3,
5,Quincy Douby,PG,6-3,175,"May 16, 1984",us US,2,Rutgers University
14,Joey Graham,SF,6-7,225,"June 11, 1982",us US,3,"Central Florida, Oklahoma State"
43,Kris Humphries,SF,6-9,235,"February 6, 1985",us US,4,Minnesota
21,Nathan Jawai,PF,6-10,280,"October 10, 1986",au AU,R,Midland College
24,Jason Kapono,SG,6-8,213,"February 4, 1981",us US,5,UCLA
31,Shawn Marion,SF,6-7,220,"May 7, 1978",us US,9,"Vincennes University, UNLV"
44,Pops Mensah-Bonsu,PF,6-9,240,"September 7, 1983",gb GB,1,George Washington
33,Jamario Moon,SF,6-8,205,"June 13, 1980",us US,1,Meridian Community College
13,Patrick O'Bryant,C,7-0,260,"June 20, 1986",us US,2,Bradley
6,Jermaine O'Neal,C,6-11,226,"October 13, 1978",us US,12,
18,Anthony Parker,SG,6-6,215,"June 19, 1975",us US,5,Bradley
5,Will Solomon,PG,6-1,185,"July 20, 1978",us US,1,Clemson
1,Roko Ukić,PG,6-5,183,"May 12, 1984",hr HR,R,
77,Jake Voskuhl,C,6-11,245,"November 1, 1977",us US,8,UConn
