No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
0,Gilbert Arenas,PG,6-4,191,"January 6, 1982",us US,7,Arizona
32,Andray Blatche,C,6-11,235,"August 22, 1986",us US,3,
17,Dee Brown,PG,6-0,185,"August 17, 1984",us US,1,Illinois
3,Caron Butler,SG,6-7,228,"March 13, 1980",us US,6,UConn
8,Javaris Crittenton,PG,6-5,200,"December 31, 1987",us US,1,Georgia Tech
6,Antonio Daniels,PG,6-4,195,"March 19, 1975",us US,11,Bowling Green
12,Juan Dixon,PG,6-3,164,"October 9, 1978",us US,6,Maryland
33,Brendan Haywood,C,7-0,268,"November 27, 1979",us US,7,UNC
13,Mike James,PG,6-2,188,"June 23, 1975",us US,7,Duquesne
4,Antawn Jamison,PF,6-9,223,"June 12, 1976",us US,10,UNC
34,JaVale McGee,C,7-0,270,"January 19, 1988",us US,R,Nevada
5,Dominic McGuire,SF,6-9,220,"October 20, 1985",us US,1,"California, Fresno State"
14,Oleksiy Pecherov,C,7-0,232,"December 8, 1985",ua UA,1,
9,Darius Songaila,C,6-9,248,"February 14, 1978",lt LT,5,Wake Forest
2,DeShawn Stevenson,SG,6-5,210,"April 3, 1981",us US,8,
36,Etan Thomas,C,6-9,256,"April 1, 1978",us US,6,Syracuse
1,Nick Young,SG,6-7,210,"June 1, 1985",us US,1,USC
