No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Luol Deng,SF,6-9,237,"April 16, 1985",ss SS,4,Duke
90,Drew Gooden,PF,6-10,250,"September 24, 1981",us US,6,Kansas
7,Ben Gordon,SG,6-3,200,"April 4, 1983",gb GB,4,UConn
34,Aaron Gray,C,7-0,270,"December 7, 1984",us US,1,Pitt
12,Kirk Hinrich,SG,6-4,190,"January 2, 1981",us US,5,Kansas
32,Larry Hughes,SF,6-5,184,"January 23, 1979",us US,10,Saint Louis
11,Lindsey Hunter,PG,6-2,170,"December 3, 1970",us US,15,"Alcorn State, Jackson State University"
54,Linton Johnson,PF,6-8,205,"June 13, 1980",us US,5,Tulane
52,Brad Miller,C,6-11,244,"April 12, 1976",us US,10,Purdue
35,Demetris Nichols,SF,6-8,216,"September 4, 1984",us US,1,Syracuse
13,Joakim Noah,C,6-11,230,"February 25, 1985",us US,1,Florida
5,Andrés Nocioni,PF,6-7,225,"November 30, 1979",ar AR,4,
5,Anthony Roberson,PG,6-2,180,"February 14, 1983",us US,2,Florida
1,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,R,Memphis
15,John Salmons,SF,6-7,210,"December 12, 1979",us US,6,Miami (FL)
2,Thabo Sefolosha,SF,6-6,215,"May 2, 1984",ch CH,2,
15,Cedric Simmons,PF,6-9,235,"January 3, 1986",us US,2,NC State
2,Tim Thomas,PF,6-10,230,"February 26, 1977",us US,11,Villanova
24,Tyrus Thomas,PF,6-9,215,"August 17, 1986",us US,2,LSU
