No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
8,Chucky Atkins,PG,5-11,160,"August 14, 1974",us US,9,South Florida
4,Nick Collison,C,6-10,255,"October 26, 1980",us US,4,Kansas
35,Kevin Durant,SF,6-11,240,"September 29, 1988",us US,1,Texas
22,Jeff Green,PF,6-8,235,"August 28, 1986",us US,1,Georgetown
51,Steven Hill,PF,7-0,248,"November 14, 1985",us US,R,Arkansas
12,Nenad Krstić,C,7-0,240,"July 25, 1983",rs RS,4,
14,Shaun Livingston,PG,6-7,192,"September 11, 1985",us US,3,
34,Desmond Mason,SG,6-7,224,"October 11, 1977",us US,8,Oklahoma State
27,Johan Petro,C,7-0,247,"January 27, 1986",fr FR,3,
9,Malik Rose,PF,6-7,250,"November 23, 1974",us US,12,Drexel
2,Thabo Sefolosha,SG,6-6,215,"May 2, 1984",ch CH,2,
18,Mouhamed Sene,C,6-11,230,"May 12, 1986",sn SN,2,
7,Joe Smith,C,6-10,225,"July 26, 1975",us US,13,Maryland
31,Robert Swift,C,7-0,245,"December 3, 1985",us US,3,
25,Earl Watson,PG,6-1,195,"June 12, 1979",us US,7,UCLA
5,Kyle Weaver,SG,6-6,201,"February 18, 1986",us US,R,Washington State
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,R,UCLA
3,D.J. White,PF,6-9,251,"August 31, 1986",us US,R,Indiana
54,Chris Wilcox,C,6-10,221,"September 3, 1982",us US,6,Maryland
21,Damien Wilkins,SG,6-6,225,"January 11, 1980",us US,4,"NC State, Georgia"
