Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,E
New Jersey Nets*,52,30,.634,—,96.2,92.0,3.67,E
Boston Celtics*,49,33,.598,3.0,96.4,94.1,1.75,E
Orlando Magic*,44,38,.537,8.0,100.5,98.9,1.25,E
Philadelphia 76ers*,43,39,.524,9.0,91.0,89.4,1.27,E
Washington Wizards,37,45,.451,15.0,92.8,94.2,-1.58,E
Miami Heat,36,46,.439,16.0,87.2,88.7,-1.84,E
New York Knicks,30,52,.366,22.0,91.6,95.6,-4.15,E
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,E
Detroit Pistons*,50,32,.610,—,94.3,92.2,1.69,E
Charlotte Hornets*,44,38,.537,6.0,93.9,92.9,0.57,E
Toronto Raptors*,42,40,.512,8.0,91.4,91.8,-0.71,E
Indiana Pacers*,42,40,.512,8.0,96.8,96.5,-0.07,E
Milwaukee Bucks,41,41,.500,9.0,97.5,97.7,-0.62,E
Atlanta Hawks,33,49,.402,17.0,94.0,98.3,-4.41,E
Cleveland Cavaliers,29,53,.354,21.0,95.3,98.6,-3.52,E
Chicago Bulls,21,61,.256,29.0,89.5,98.0,-8.52,E
Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,W
San Antonio Spurs*,58,24,.707,—,96.7,90.5,6.28,W
Dallas Mavericks*,57,25,.695,1.0,105.2,101.0,4.41,W
Minnesota Timberwolves*,50,32,.610,8.0,99.3,96.0,3.58,W
Utah Jazz*,44,38,.537,14.0,96.0,95.1,1.21,W
Houston Rockets,28,54,.341,30.0,92.3,97.2,-4.31,W
Denver Nuggets,27,55,.329,31.0,92.2,98.0,-5.19,W
Memphis Grizzlies,23,59,.280,35.0,89.9,97.3,-6.74,W
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,W
Sacramento Kings*,61,21,.744,—,104.6,97.0,7.61,W
Los Angeles Lakers*,58,24,.707,3.0,101.3,94.1,7.15,W
Portland Trail Blazers*,49,33,.598,12.0,96.6,93.7,3.21,W
Seattle SuperSonics*,45,37,.549,16.0,97.7,94.7,3.24,W
Los Angeles Clippers,39,43,.476,22.0,95.7,96.1,-0.09,W
Phoenix Suns,36,46,.439,25.0,95.1,95.8,-0.30,W
Golden State Warriors,21,61,.256,40.0,97.7,103.1,-4.80,W
