Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,E
Philadelphia 76ers*,56,26,.683,—,94.7,90.4,3.64,E
Miami Heat*,50,32,.610,6.0,88.9,86.6,1.73,E
New York Knicks*,48,34,.585,8.0,88.7,86.1,1.98,E
Orlando Magic*,43,39,.524,13.0,97.5,96.5,0.39,E
Boston Celtics,36,46,.439,20.0,94.6,96.8,-2.40,E
New Jersey Nets,26,56,.317,30.0,92.1,97.1,-5.30,E
Washington Wizards,19,63,.232,37.0,93.2,99.9,-6.75,E
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,E
Milwaukee Bucks*,52,30,.634,—,100.7,96.9,3.14,E
Toronto Raptors*,47,35,.573,5.0,97.6,95.4,1.69,E
Charlotte Hornets*,46,36,.561,6.0,91.9,89.8,1.45,E
Indiana Pacers*,41,41,.500,11.0,92.6,92.8,-0.77,E
Detroit Pistons,32,50,.390,20.0,95.6,97.3,-2.08,E
Cleveland Cavaliers,30,52,.366,22.0,92.2,96.5,-4.48,E
Atlanta Hawks,25,57,.305,27.0,91.0,96.2,-5.55,E
Chicago Bulls,15,67,.183,37.0,87.6,96.7,-9.09,E
Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,W
San Antonio Spurs*,58,24,.707,—,96.2,88.4,7.92,W
Utah Jazz*,53,29,.646,5.0,97.1,92.4,5.00,W
Dallas Mavericks*,53,29,.646,5.0,100.5,96.2,4.61,W
Minnesota Timberwolves*,47,35,.573,11.0,97.3,96.0,1.81,W
Houston Rockets,45,37,.549,13.0,97.2,94.9,2.71,W
Denver Nuggets,40,42,.488,18.0,96.6,99.0,-1.83,W
Vancouver Grizzlies,23,59,.280,35.0,91.7,97.5,-4.94,W
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,W
Los Angeles Lakers*,56,26,.683,—,100.6,97.2,3.74,W
Sacramento Kings*,55,27,.671,1.0,101.7,95.9,6.07,W
Phoenix Suns*,51,31,.622,5.0,94.0,91.8,2.63,W
Portland Trail Blazers*,50,32,.610,6.0,95.4,91.2,4.52,W
Seattle SuperSonics,44,38,.537,12.0,97.3,97.3,0.55,W
Los Angeles Clippers,31,51,.378,25.0,92.5,95.3,-2.23,W
Golden State Warriors,17,65,.207,39.0,92.5,101.5,-8.11,W
