Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Milwaukee Bucks*,58,24,0.707,—,116.9,113.3,3.61,E
Boston Celtics*,57,25,0.695,1.0,117.9,111.4,6.38,E
Philadelphia 76ers*,54,28,0.659,4.0,115.2,110.9,4.37,E
Cleveland Cavaliers*,51,31,0.622,7.0,112.3,106.9,5.23,E
New York Knicks*,47,35,0.573,11.0,116.0,113.1,2.99,E
Brooklyn Nets*,45,37,0.549,13.0,113.4,112.5,1.03,E
Miami Heat*,44,38,0.537,14.0,109.5,109.8,-0.13,E
Atlanta Hawks*,41,41,0.5,17.0,118.4,118.1,0.32,E
Toronto Raptors,41,41,0.5,17.0,112.9,111.4,1.59,E
Chicago Bulls,40,42,0.488,18.0,113.1,111.8,1.37,E
Indiana Pacers,35,47,0.427,23.0,116.3,119.5,-2.91,E
Washington Wizards,35,47,0.427,23.0,113.2,114.4,-1.06,E
Orlando Magic,34,48,0.415,24.0,111.4,114.0,-2.39,E
Charlotte Hornets,27,55,0.329,31.0,111.0,117.2,-5.89,E
Detroit Pistons,17,65,0.207,41.0,110.3,118.5,-7.73,E
Denver Nuggets*,53,29,0.646,—,115.8,112.5,3.04,W
Memphis Grizzlies*,51,31,0.622,2.0,116.9,113.0,3.6,W
Sacramento Kings*,48,34,0.585,5.0,120.7,118.1,2.3,W
Phoenix Suns*,45,37,0.549,8.0,113.6,111.6,2.08,W
Los Angeles Clippers*,44,38,0.537,9.0,113.6,113.1,0.31,W
Golden State Warriors*,44,38,0.537,9.0,118.9,117.1,1.66,W
Los Angeles Lakers*,43,39,0.524,10.0,117.2,116.6,0.43,W
Minnesota Timberwolves*,42,40,0.512,11.0,115.8,115.8,-0.22,W
New Orleans Pelicans,42,40,0.512,11.0,114.4,112.5,1.63,W
Oklahoma City Thunder,40,42,0.488,13.0,117.5,116.4,0.96,W
Dallas Mavericks,38,44,0.463,15.0,114.2,114.1,-0.14,W
Utah Jazz,37,45,0.451,16.0,117.1,118.0,-1.03,W
Portland Trail Blazers,33,49,0.402,20.0,113.4,117.4,-3.96,W
Houston Rockets,22,60,0.268,31.0,110.7,118.6,-7.62,W
San Antonio Spurs,22,60,0.268,31.0,113.0,123.1,-9.82,W
