Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,E
Boston Celtics*,56,26,.683,—,96.5,91.1,4.83,E
New York Knicks*,42,40,.512,14.0,106.5,105.7,0.48,E
Philadelphia 76ers*,41,41,.500,15.0,99.0,97.5,1.01,E
New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,E
Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,E
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,E
Chicago Bulls*,62,20,.756,—,98.6,91.3,6.53,E
Indiana Pacers*,37,45,.451,25.0,99.8,100.9,-1.38,E
Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,E
Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,E
Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,E
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,E
Miami Heat*,58,24,.707,—,102.1,94.6,6.76,E
Orlando Magic*,52,30,.634,6.0,99.2,93.7,4.92,E
Atlanta Hawks*,44,38,.537,14.0,95.0,95.8,-1.10,E
Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,E
Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,E
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,W
Oklahoma City Thunder*,55,27,.671,—,104.8,101.0,3.81,W
Denver Nuggets*,50,32,.610,5.0,107.5,102.7,4.81,W
Portland Trail Blazers*,48,34,.585,7.0,96.3,94.8,1.85,W
Utah Jazz,39,43,.476,16.0,99.4,101.3,-1.44,W
Minnesota Timberwolves,17,65,.207,38.0,101.1,107.7,-5.97,W
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,W
Los Angeles Lakers*,57,25,.695,—,101.5,95.4,6.01,W
Phoenix Suns,40,42,.488,17.0,105.0,105.9,-0.46,W
Golden State Warriors,36,46,.439,21.0,103.4,105.7,-2.00,W
Los Angeles Clippers,32,50,.390,25.0,98.6,101.8,-2.71,W
Sacramento Kings,24,58,.293,33.0,99.4,104.7,-4.80,W
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,W
San Antonio Spurs*,61,21,.744,—,103.7,98.0,5.86,W
Dallas Mavericks*,57,25,.695,4.0,100.2,96.0,4.41,W
New Orleans Hornets*,46,36,.561,15.0,94.9,94.0,1.28,W
Memphis Grizzlies*,46,36,.561,15.0,99.9,97.6,2.55,W
Houston Rockets,43,39,.524,18.0,105.9,103.7,2.37,W
