Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,E
New Jersey Nets*,47,35,.573,—,90.3,87.8,1.88,E
Miami Heat*,42,40,.512,5.0,90.3,89.7,-0.13,E
New York Knicks*,39,43,.476,8.0,92.0,93.5,-1.97,E
Boston Celtics*,36,46,.439,11.0,95.3,96.7,-1.99,E
Philadelphia 76ers,33,49,.402,14.0,88.0,90.5,-2.95,E
Washington Wizards,25,57,.305,22.0,91.8,97.4,-6.12,E
Orlando Magic,21,61,.256,26.0,94.0,101.1,-7.25,E
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,E
Indiana Pacers*,61,21,.744,—,91.4,85.6,4.93,E
Detroit Pistons*,54,28,.659,7.0,90.1,84.3,5.04,E
New Orleans Hornets*,41,41,.500,20.0,91.8,91.9,-0.72,E
Milwaukee Bucks*,41,41,.500,20.0,98.0,97.0,0.42,E
Cleveland Cavaliers,35,47,.427,26.0,92.9,95.5,-3.07,E
Toronto Raptors,33,49,.402,28.0,85.4,88.5,-3.42,E
Atlanta Hawks,28,54,.341,33.0,92.8,97.5,-5.00,E
Chicago Bulls,23,59,.280,38.0,89.7,96.0,-6.69,E
Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,W
Minnesota Timberwolves*,58,24,.707,—,94.5,89.1,5.86,W
San Antonio Spurs*,57,25,.695,1.0,91.5,84.3,7.51,W
Dallas Mavericks*,52,30,.634,6.0,105.2,100.8,4.86,W
Memphis Grizzlies*,50,32,.610,8.0,96.7,94.3,2.95,W
Houston Rockets*,45,37,.549,13.0,89.8,88.0,2.28,W
Denver Nuggets*,43,39,.524,15.0,97.2,96.1,1.65,W
Utah Jazz,42,40,.512,16.0,88.7,89.9,-0.53,W
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,W
Los Angeles Lakers*,56,26,.683,—,98.2,94.3,4.35,W
Sacramento Kings*,55,27,.671,1.0,102.8,97.8,5.41,W
Portland Trail Blazers,41,41,.500,15.0,90.7,92.0,-0.58,W
Golden State Warriors,37,45,.451,19.0,93.3,94.0,-0.07,W
Seattle SuperSonics,37,45,.451,19.0,97.1,97.8,0.02,W
Phoenix Suns,29,53,.354,27.0,94.2,97.9,-2.94,W
Los Angeles Clippers,28,54,.341,28.0,94.8,99.4,-3.74,W
