Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference
Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,Atlantic Division,E
New Jersey Nets*,49,33,.598,—,93.8,92.4,1.11,E
Philadelphia 76ers,38,44,.463,11.0,99.4,101.3,-2.10,E
Boston Celtics,33,49,.402,16.0,98.0,99.5,-1.59,E
Toronto Raptors,27,55,.329,22.0,101.1,104.0,-3.03,E
New York Knicks,23,59,.280,26.0,95.6,102.0,-6.30,E
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,E
Detroit Pistons*,64,18,.780,—,96.8,90.2,6.24,E
Cleveland Cavaliers*,50,32,.610,14.0,97.6,95.4,2.17,E
Indiana Pacers*,41,41,.500,23.0,93.9,92.0,1.62,E
Chicago Bulls*,41,41,.500,23.0,97.8,97.2,0.51,E
Milwaukee Bucks*,40,42,.488,24.0,97.8,98.8,-1.07,E
Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,E
Miami Heat*,52,30,.634,—,99.9,96.0,3.59,E
Washington Wizards*,42,40,.512,10.0,101.7,99.8,1.57,E
Orlando Magic,36,46,.439,16.0,94.9,96.0,-1.26,E
Charlotte Bobcats,26,56,.317,26.0,96.9,100.9,-3.90,E
Atlanta Hawks,26,56,.317,26.0,97.2,102.0,-4.69,E
Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,W
Denver Nuggets*,44,38,.537,—,100.3,100.1,0.36,W
Utah Jazz,41,41,.500,3.0,92.4,95.0,-2.49,W
Seattle SuperSonics,35,47,.427,9.0,102.6,105.6,-2.88,W
Minnesota Timberwolves,33,49,.402,11.0,91.7,93.6,-1.75,W
Portland Trail Blazers,21,61,.256,23.0,88.8,98.3,-8.91,W
Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,W
Phoenix Suns*,54,28,.659,—,108.4,102.8,5.48,W
Los Angeles Clippers*,47,35,.573,7.0,97.2,95.6,1.75,W
Los Angeles Lakers*,45,37,.549,9.0,99.4,96.9,2.53,W
Sacramento Kings*,44,38,.537,10.0,98.9,97.3,1.61,W
Golden State Warriors,34,48,.415,20.0,98.5,99.8,-1.11,W
Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,W
San Antonio Spurs*,63,19,.768,—,95.6,88.8,6.69,W
Dallas Mavericks*,60,22,.732,3.0,99.1,93.1,5.96,W
Memphis Grizzlies*,49,33,.598,14.0,92.2,88.5,3.74,W
New Orleans/Oklahoma City Hornets,38,44,.463,25.0,92.8,95.6,-2.51,W
Houston Rockets,34,48,.415,29.0,90.1,91.7,-1.30,W
