No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
40,Earl Barron,C,7-0,250,"August 14, 1981",us US,5,Memphis
34,Keith Benson,C,6-11,240,"August 13, 1988",us US,R,Oakland
15,Andris Biedriņš,C,6-11,240,"April 2, 1986",lv LV,7,
54,Kwame Brown,C,6-11,270,"March 10, 1982",us US,10,
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,2,Davidson
8,Monta Ellis,SG,6-3,185,"October 26, 1985",us US,6,
32,Mickell Gladness,PF,6-11,220,"July 26, 1986",us US,R,Alabama A&M University
44,Richard Jefferson,SF,6-7,233,"June 21, 1980",us US,10,Arizona
22,Charles Jenkins,PG,6-3,220,"February 28, 1989",us US,R,Hofstra
10,David Lee,PF,6-9,245,"April 29, 1983",us US,6,Florida
5,Dominic McGuire,PF,6-9,220,"October 20, 1985",us US,4,"California, Fresno State"
31,Mikki Moore,C,6-11,225,"November 4, 1975",us US,12,Nebraska
2,Nate Robinson,PG,5-9,180,"May 31, 1984",us US,6,Washington
4,Brandon Rush,SF,6-6,220,"July 7, 1985",us US,3,Kansas
12,Ish Smith,PG,6-0,175,"July 5, 1988",us US,1,Wake Forest
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us US,R,Washington State
3,Jeremy Tyler,C,6-10,260,"June 21, 1991",us US,R,
20,Ekpe Udoh,C,6-10,245,"May 20, 1987",us US,1,"Michigan, Baylor"
33,Chris Wright,SF,6-8,226,"September 30, 1988",us US,R,Dayton
1,Dorell Wright,SF,6-9,205,"December 2, 1985",us US,7,
