No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
17,Lou Amundson,PF,6-9,220,"December 7, 1982",us US,5,UNLV
29,Jeff Ayres,C,6-9,240,"April 29, 1987",us US,1,Arizona State
28,Leandro Barbosa,SG,6-3,194,"November 28, 1982",br BR,8,
2,Darren Collison,PG,6-0,175,"August 23, 1987",us US,2,UCLA
44,Kyrylo Fesenko,C,7-1,288,"December 24, 1986",ua UA,4,
10,Jeff Foster,C,6-11,236,"January 16, 1977",us US,12,Texas State University
24,Paul George,SG,6-8,220,"May 2, 1990",us US,1,Fresno State
33,Danny Granger,SF,6-9,222,"April 20, 1983",us US,6,"Bradley, New Mexico"
50,Tyler Hansbrough,PF,6-9,250,"November 3, 1985",us US,2,UNC
55,Roy Hibbert,C,7-2,270,"December 11, 1986",us US,3,Georgetown
3,George Hill,PG,6-4,188,"May 4, 1986",us US,3,IUPUI
1,Dahntay Jones,SF,6-6,225,"December 27, 1980",us US,8,"Rutgers University, Duke"
12,A.J. Price,PG,6-2,181,"October 7, 1986",us US,2,UConn
6,Lance Stephenson,SG,6-6,230,"September 5, 1990",us US,1,Cincinnati
21,David West,PF,6-9,250,"August 29, 1980",us US,8,Xavier
