Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Precious Achiuwa,PF-C,24,TOT,74,1624,,,1%,47%,53%,-0.7,-3.5,34,23,87,13,54,4,234,10,39
1,Precious Achiuwa,C,24,TOR,25,437,,,,3%,97%,-5.2,1.4,12,8,23,5,18,1,105,2,13
1,Precious Achiuwa,PF,24,NYK,49,1187,,,1%,63%,36%,1.0,-5.3,22,15,64,8,36,3,129,8,26
2,Bam Adebayo,C,26,MIA,71,2416,,,,,100%,0.8,-3.1,63,44,81,32,179,6,678,35,46
3,Ochai Agbaji,SG,23,TOT,78,1641,,16%,77%,7%,,-6.8,-1.6,25,18,61,11,30,3,201,13,41
3,Ochai Agbaji,SG,23,UTA,51,1003,,12%,81%,6%,,-5.3,-0.6,14,8,37,6,12,2,119,5,21
3,Ochai Agbaji,SG,23,TOR,27,638,1%,22%,69%,8%,,-9.1,-3.2,11,10,24,5,18,1,82,8,20
4,Santi Aldama,PF,23,MEM,61,1618,,,5%,82%,14%,-8.9,-2.7,35,18,52,5,41,3,342,16,26
5,Nickeil Alexander-Walker,SG,25,MIN,82,1921,43%,48%,9%,,,8.7,4.3,51,16,80,4,24,29,496,4,29
6,Grayson Allen,SG,28,PHO,75,2513,26%,72%,2%,,,4.8,4.3,56,16,75,8,63,19,546,15,26
7,Jarrett Allen,C,25,CLE,77,2442,,,,1%,100%,5.0,6.1,67,28,87,21,142,15,499,31,75
8,Timmy Allen,SF,24,MEM,5,125,,38%,53%,9%,,-24.0,-17.3,1,0,13,0,1,2,13,0,1
9,Jose Alvarado,PG,25,NOP,56,1028,100%,,,,,12.3,10.4,25,10,27,1,19,12,275,1,22
10,Kyle Anderson,PF,30,MIN,79,1782,,,55%,42%,4%,5.6,-1.7,57,20,57,6,65,7,781,11,20
11,Giannis Antetokounmpo,PF,29,MIL,73,2567,,,,59%,41%,6.2,10.0,75,72,83,45,377,7,1242,105,90
12,Thanasis Antetokounmpo,PF,31,MIL,34,155,,,9%,34%,58%,-11.8,-15.1,4,5,11,1,1,1,44,0,3
13,Cole Anthony,PG,23,ORL,81,1817,100%,,,,,1.9,0.3,68,39,88,7,87,11,569,15,32
14,OG Anunoby,SF,26,TOT,50,1702,,1%,64%,34%,1%,11.6,16.2,33,19,58,15,47,4,252,15,41
14,OG Anunoby,SF,26,TOR,27,900,,2%,80%,16%,2%,2.0,10.9,17,11,26,10,24,4,169,9,20
14,OG Anunoby,SF,26,NYK,23,802,,,45%,55%,,22.4,22.1,16,8,32,5,23,0,83,6,21
15,Ryan Arcidiacono,PG,29,NYK,20,45,,65%,36%,,,7.6,2.9,2,0,3,0,0,2,11,0,0
16,Deni Avdija,SF,23,WAS,75,2257,,,54%,42%,4%,-6.3,6.9,87,45,93,18,144,12,672,45,76
17,Deandre Ayton,C,25,POR,55,1784,,,,,100%,-8.7,1.3,28,42,75,14,40,3,222,11,41
18,Udoka Azubuike,C,24,PHO,16,113,,,,,100%,-17.1,-21.0,0,2,12,2,6,1,6,1,3
19,Ibou Badji,C,21,POR,22,226,,,,,100%,-20.0,-11.3,2,7,30,4,5,1,28,0,3
20,Marvin Bagley III,C,24,TOT,50,1053,,,,3%,98%,-6.7,2.8,19,13,43,18,64,10,128,15,38
20,Marvin Bagley III,C,24,DET,26,478,,,,1%,99%,-7.9,1.1,10,5,22,10,30,6,65,6,14
20,Marvin Bagley III,C,24,WAS,24,575,,,,4%,96%,-5.7,4.2,9,8,21,8,34,4,63,9,24
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
21,Amari Bailey,PG,19,CHO,10,65,73%,27%,,,,5.6,16.5,3,1,1,0,3,0,18,1,0
22,Patrick Baldwin Jr.,SF,21,WAS,38,493,,,6%,61%,33%,-2.9,7.2,6,7,37,4,15,2,74,8,4
23,LaMelo Ball,PG,22,CHO,22,711,69%,29%,1%,,,-9.2,1.7,37,22,26,11,40,5,396,7,14
24,Mo Bamba,C,25,PHI,57,740,,,,,100%,-3.7,-8.2,12,5,55,19,25,2,102,5,12
25,Paolo Banchero,PF,21,ORL,80,2799,,,,93%,7%,-0.3,-7.3,114,91,92,21,269,0,1054,51,87
26,Desmond Bane,SG,25,MEM,42,1443,13%,50%,34%,3%,,-7.7,-0.7,47,31,57,18,61,10,568,13,61
27,Dalano Banton,PG,24,TOT,54,1047,41%,58%,1%,,,-11.2,-6.4,47,19,40,8,58,1,306,13,35
27,Dalano Banton,PG,24,BOS,24,171,38%,54%,8%,,,4.5,-7.0,6,1,11,3,10,1,46,2,3
27,Dalano Banton,PG,24,POR,30,876,42%,58%,,,,-14.3,-6.2,41,18,29,5,48,0,260,11,32
28,Dominick Barlow,PF,20,SAS,33,420,,,2%,21%,78%,-4.7,1.8,5,0,30,3,18,2,85,2,8
29,Harrison Barnes,PF,31,SAC,82,2381,,,10%,90%,1%,-1.8,-7.8,23,23,60,5,86,12,238,19,27
30,Scottie Barnes,SG,22,TOR,60,2094,,31%,33%,33%,2%,-3.1,7.0,104,31,40,16,111,16,865,30,48
31,RJ Barrett,SG,23,TOT,58,1838,,9%,69%,22%,1%,-3.3,-1.8,64,33,67,14,152,8,472,30,90
31,RJ Barrett,SG,23,NYK,26,766,,3%,96%,1%,,-0.3,-6.4,20,14,26,4,64,3,154,8,41
31,RJ Barrett,SG,23,TOR,32,1072,,14%,49%,36%,1%,-5.4,1.5,44,19,41,10,88,5,318,22,49
32,Charles Bassey,C,23,SAS,19,205,,,,37%,63%,-10.5,-4.4,10,2,20,2,3,0,52,2,1
33,Emoni Bates,SF,20,CLE,15,133,5%,31%,63%,1%,,-32.3,-36.1,4,4,4,0,2,2,25,0,3
34,Keita Bates-Diop,SF,28,TOT,53,665,,10%,47%,42%,1%,-4.3,-7.9,4,7,23,1,21,0,92,8,16
