Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jeff Adrien,PF,24,GSW,23,196,,3%,7%,76%,15%,-0.4,2.4,3,2,16,1,8,2,22,3,14
2,Arron Afflalo,SG,25,DEN,69,2324,1%,88%,11%,,,4.0,-2.7,25,19,79,8,65,5,385,12,39
3,Maurice Ager,SG,26,MIN,4,29,83%,17%,,,,-12.6,-5.6,1,1,1,2,0,1,2,0,0
4,Alexis Ajinça,C,22,TOT,34,340,,,,,100%,-0.1,4.6,5,4,36,5,10,1,23,2,5
4,Alexis Ajinça,C,22,DAL,10,75,,,,,100%,-7.2,-12.2,1,0,5,0,2,1,5,1,2
4,Alexis Ajinça,C,22,TOR,24,265,,,,,100%,1.9,9.4,4,4,31,5,8,0,18,1,3
5,Solomon Alabi,C,22,TOR,12,59,,,,15%,85%,-17.5,-10.8,0,2,5,0,1,0,4,0,3
6,Cole Aldrich,C,22,OKC,18,142,,,,7%,93%,2.9,-1.3,2,1,21,2,2,0,10,0,2
7,LaMarcus Aldridge,PF,25,POR,81,3211,,,,51%,50%,4.5,15.0,35,64,139,19,197,11,411,46,54
8,Malik Allen,PF,32,ORL,18,178,,,,24%,76%,-11.6,-18.5,1,0,20,1,0,1,12,0,1
9,Ray Allen*,SG,35,BOS,80,2890,2%,95%,3%,,,8.3,8.3,56,38,67,15,59,7,461,17,35
10,Tony Allen,SG,29,MEM,72,1494,19%,81%,,,,4.0,2.6,34,28,70,12,88,8,219,18,36
11,Al-Farouq Aminu,SF,20,LAC,81,1452,,,88%,12%,,-7.3,-5.8,47,31,64,16,56,4,132,12,37
12,Lou Amundson,PF,28,GSW,46,691,,,12%,79%,8%,-6.0,-4.0,5,11,51,6,39,6,37,9,16
13,Chris Andersen,C,32,DEN,45,732,,,1%,13%,86%,6.4,1.6,9,5,54,3,52,8,45,13,16
14,David Andersen,PF,30,TOT,40,373,,,,58%,42%,0.5,2.9,5,9,13,3,9,2,28,2,11
14,David Andersen,PF,30,TOR,11,150,,,,26%,74%,8.4,15.9,1,5,4,0,3,0,14,1,5
14,David Andersen,PF,30,NOH,29,223,,,,79%,21%,-4.8,-5.9,4,4,9,3,6,2,14,1,6
15,James Anderson,SF,21,SAS,26,286,,25%,73%,2%,,-7.8,-15.4,3,5,17,2,9,4,40,2,6
16,Ryan Anderson,PF,22,ORL,64,1424,,,1%,67%,33%,9.2,4.8,21,11,73,8,52,9,124,10,25
17,Carmelo Anthony,SF,26,TOT,77,2751,,1%,81%,19%,,3.5,-0.5,68,52,86,50,277,12,517,68,108
17,Carmelo Anthony,SF,26,DEN,50,1774,,,77%,23%,,4.4,-1.2,46,37,53,32,190,9,334,42,87
17,Carmelo Anthony,SF,26,NYK,27,977,,2%,87%,11%,,1.7,0.8,22,15,33,18,87,3,183,26,21
18,Joel Anthony,C,28,MIA,75,1463,,,,3%,97%,7.0,-2.6,7,6,123,15,21,7,55,1,13
19,Gilbert Arenas,PG,29,TOT,70,1796,81%,19%,,,,-0.5,-1.1,106,30,86,22,67,10,632,14,29
19,Gilbert Arenas,PG,29,WAS,21,726,99%,1%,,,,-9.0,-1.1,40,12,31,11,28,1,251,5,13
19,Gilbert Arenas,PG,29,ORL,49,1070,69%,31%,,,,5.3,-1.2,66,18,55,11,39,9,381,9,16
20,Trevor Ariza,SF,25,NOH,75,2600,,,90%,10%,,-0.2,-2.9,42,34,73,22,98,9,361,22,43
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
21,Hilton Armstrong,C,26,TOT,53,488,,,,6%,94%,-10.1,-3.4,3,8,36,15,13,9,32,3,12
21,Hilton Armstrong,C,26,WAS,41,412,,,,1%,99%,-10.8,-3.0,2,8,32,13,8,8,22,3,9
21,Hilton Armstrong,C,26,ATL,12,76,,,,30%,70%,-6.2,-5.4,1,0,4,2,5,1,10,0,3
22,Carlos Arroyo,PG,31,TOT,64,1185,96%,4%,,,,5.0,-4.0,32,13,35,4,13,7,266,2,3
22,Carlos Arroyo,PG,31,MIA,49,995,99%,1%,,,,6.1,-3.4,24,8,31,2,8,7,213,2,2
22,Carlos Arroyo,PG,31,BOS,15,190,81%,19%,,,,-0.7,-7.1,8,5,4,2,5,0,53,0,1
23,Darrell Arthur,PF,22,MEM,80,1609,,,,95%,5%,2.1,-0.5,30,27,124,19,63,9,116,15,31
24,Ömer Aşık,C,24,CHI,82,989,,,,,100%,14.2,8.0,14,14,82,15,68,14,67,8,26
25,D.J. Augustin,PG,23,CHA,82,2757,100%,,,,,-5.7,-3.7,84,42,63,17,94,11,1114,26,81
26,Luke Babbitt,SF,21,POR,24,137,,2%,45%,52%,2%,-12.3,-14.4,4,2,7,2,4,0,15,1,2
27,Renaldo Balkman,SF,26,TOT,8,62,,1%,16%,83%,,1.9,-2.1,0,0,8,0,2,0,6,0,2
27,Renaldo Balkman,SF,26,DEN,5,44,,,,100%,,-2.2,-7.4,0,0,6,0,2,0,6,0,1
27,Renaldo Balkman,SF,26,NYK,3,18,,4%,54%,41%,,12.0,10.9,0,0,2,0,0,0,0,0,1
28,Marcus Banks,PG,29,TOR,3,22,100%,,,,,15.8,22.8,2,0,1,0,3,1,7,0,0
29,Leandro Barbosa,SG,28,TOR,58,1395,15%,84%,1%,,,-5.6,2.0,40,25,44,13,63,8,262,16,40
30,J.J. Barea,PG,26,DAL,81,1669,97%,3%,,,,5.8,1.8,70,46,43,9,80,53,713,25,43
31,Andrea Bargnani,C,25,TOR,66,2353,,,,1%,99%,-8.1,-3.1,39,42,79,31,169,10,275,42,49
32,Matt Barnes,SF,30,LAL,53,1020,,,93%,7%,,1.4,-7.4,24,16,51,13,37,3,163,11,15
33,Earl Barron,C,29,TOT,21,305,,,,3%,97%,-6.7,-6.3,3,6,22,4,12,0,26,4,9
33,Earl Barron,C,29,PHO,12,183,,,,5%,95%,-0.1,0.8,3,4,16,2,9,0,9,2,7
33,Earl Barron,C,29,MIL,7,85,,,,,100%,-2.7,-1.8,0,1,6,0,2,0,9,2,1
33,Earl Barron,C,29,POR,2,37,,,,,100%,-49.1,-51.2,0,1,0,2,1,0,8,0,1
