Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Tariq Abdul-Wahad,SG,28,DAL,14,204,,28%,68%,4%,,5.5,-2.9,3,2,16,1,3,,52,0,4
2,Shareef Abdur-Rahim,PF,26,ATL,81,3087,,,5%,93%,2%,-3.5,1.5,80,63,95,35,228,,555,41,106
3,Courtney Alexander,PG,25,NOH,66,1360,38%,58%,4%,,,-0.2,-3.9,29,22,44,10,61,,176,11,35
4,Malik Allen,PF,24,MIA,80,2318,,,,94%,6%,-8.1,-5.8,47,44,134,18,49,,123,13,49
5,Ray Allen*,SG,27,TOT,76,2880,1%,90%,9%,,,3.0,4.0,102,57,108,21,114,,771,16,63
5,Ray Allen*,SG,27,MIL,47,1683,2%,96%,2%,,,1.9,2.3,59,32,75,16,69,,380,8,35
5,Ray Allen*,SG,27,SEA,29,1197,,82%,18%,,,4.6,6.3,43,25,33,5,45,,391,8,28
6,Rafer Alston,PG,26,TOR,47,980,94%,6%,,,,-7.4,-1.0,59,11,47,8,25,,419,6,18
7,John Amaechi,C,32,UTA,50,474,,,,11%,89%,-2.2,-6.1,14,9,29,5,23,,44,6,30
8,Chris Andersen,C,24,DEN,59,907,,,,71%,29%,-6.7,3.6,37,11,38,7,59,,69,9,30
9,Derek Anderson,PG,28,POR,76,2556,53%,47%,,,,4.3,3.9,66,33,57,10,78,,708,17,19
10,Kenny Anderson,PG,32,TOT,61,1135,100%,,,,,-1.7,-3.3,37,23,39,9,27,,428,7,28
10,Kenny Anderson,PG,32,SEA,38,689,100%,,,,,-4.5,-5.7,17,11,21,4,18,,261,5,20
10,Kenny Anderson,PG,32,NOH,23,446,100%,,,,,2.6,0.3,20,12,18,5,9,,167,2,8
11,Shandon Anderson,SF,29,NYK,82,1731,,10%,85%,6%,,-0.9,1.4,52,35,72,20,86,,193,22,27
12,Robert Archibald,PF,22,MEM,12,72,,,,34%,67%,-7.9,-4.5,3,2,6,1,9,,6,0,2
13,Gilbert Arenas,PG,21,GSW,82,2866,87%,13%,,,,-1.5,-1.5,147,75,96,42,174,,1112,39,98
14,Brandon Armstrong,SG,22,NJN,17,69,,95%,5%,,,-7.7,-13.8,3,1,2,1,3,,6,1,1
15,Darrell Armstrong,PG,34,ORL,82,2350,93%,7%,,,,0.5,1.1,95,42,43,8,25,,740,7,23
16,Carlos Arroyo,PG,23,UTA,44,287,81%,19%,,,,-3.1,-6.8,14,9,11,3,10,,109,2,8
17,Chucky Atkins,PG,28,DET,65,1398,100%,,,,,4.9,1.1,47,15,28,8,16,,395,3,16
18,Stacey Augmon,SG,34,NOH,70,862,,54%,46%,,,5.6,4.1,19,12,27,5,30,,156,4,13
19,Dalibor Bagarić,C,22,CHI,10,76,,,,11%,89%,0.8,6.3,4,0,8,1,2,,9,0,4
20,Vin Baker,C,31,BOS,52,942,,,,2%,98%,-3.9,-4.7,11,20,47,16,46,,73,10,34
