Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,,,,70%,30%,4.0,4.4,36,39,113,18,117,8,347,28,65
2,Alex Acker,SG,23,DET,5,35,63%,37%,,,,-43.4,-52.0,3,1,3,0,0,0,9,0,2
3,Malik Allen,PF,27,CHI,54,701,,,,64%,36%,3.2,2.7,9,9,54,9,13,15,44,3,14
4,Ray Allen*,SG,30,SEA,78,3022,3%,94%,4%,,,-1.2,8.8,88,64,64,23,125,15,635,29,50
5,Tony Allen,PG,24,BOS,51,978,21%,74%,5%,,,-2.4,-1.0,26,25,57,7,66,6,149,18,27
6,Rafer Alston,PG,29,HOU,63,2431,98%,2%,,,,-2.0,-1.4,103,34,85,3,44,7,932,7,20
7,Chris Andersen,C,27,NOK,32,570,,,,30%,70%,1.2,5.0,10,5,39,8,45,14,14,9,9
8,Alan Anderson,SF,23,CHA,36,564,,20%,54%,25%,,0.1,5.2,16,8,17,4,20,1,72,4,18
9,Derek Anderson,SG,31,TOT,43,1047,14%,53%,31%,2%,,-2.1,-3.5,26,14,36,8,29,15,224,4,10
9,Derek Anderson,SG,31,HOU,20,582,,45%,51%,3%,,-1.3,0.2,18,8,16,6,19,5,123,4,4
9,Derek Anderson,SG,31,MIA,23,465,32%,62%,7%,,,-3.0,-8.2,8,6,20,2,10,10,101,0,6
10,Shandon Anderson,SF,32,MIA,48,638,1%,23%,76%,,,2.3,-2.4,15,8,40,0,11,4,69,4,7
11,Martynas Andriuškevičius,C,19,CLE,6,9,,,,,100%,34.5,32.0,0,0,0,0,0,0,0,0,0
12,Carmelo Anthony,SF,21,DEN,80,2941,,,86%,14%,,0.4,0.6,61,59,95,47,285,13,475,66,120
13,Rafael Araújo,C,25,TOR,52,601,,,,2%,98%,-10.7,-8.6,10,8,46,14,11,7,33,2,18
14,Gilbert Arenas,PG,24,WAS,80,3384,100%,,,,,2.6,4.9,138,73,113,48,326,32,1071,66,62
15,Trevor Ariza,SF,20,TOT,57,999,,11%,88%,1%,,0.9,7.3,26,15,34,10,50,9,129,5,18
15,Trevor Ariza,SF,20,NYK,36,709,,15%,85%,,,-0.8,7.7,17,11,23,8,27,7,99,3,8
15,Trevor Ariza,SF,20,ORL,21,290,,1%,94%,5%,,4.8,6.4,9,4,11,2,23,2,30,2,10
16,Darrell Armstrong,PG,37,DAL,62,622,100%,,,,,1.5,-6.1,37,10,22,2,9,25,198,1,9
17,Carlos Arroyo,PG-SG,26,TOT,77,1194,64%,35%,,,,2.7,-0.9,38,22,44,14,50,11,502,7,21
17,Carlos Arroyo,PG,26,DET,50,600,100%,,,,,3.0,-5.9,18,12,27,8,18,4,341,1,12
17,Carlos Arroyo,SG,26,ORL,27,594,29%,71%,1%,,,2.4,4.2,20,10,17,6,32,7,161,6,9
18,Chucky Atkins,PG-SG,31,TOT,71,1713,80%,20%,,,,0.9,-3.3,49,26,44,8,34,13,450,3,19
18,Chucky Atkins,SG,31,WAS,28,552,39%,62%,,,,-6.4,-9.7,18,8,14,4,5,8,152,0,3
18,Chucky Atkins,PG,31,MEM,43,1161,100%,,,,,4.3,-0.2,31,18,30,4,29,5,298,3,16
19,Stacey Augmon,SF,37,ORL,36,385,,14%,83%,3%,,6.1,8.0,3,5,11,1,10,6,52,1,7
20,Vin Baker,C,34,LAC,8,85,,,,16%,84%,11.0,9.3,4,1,8,1,7,2,8,2,3
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
21,Marcus Banks,PG,24,TOT,58,1497,98%,2%,,,,-4.6,-3.3,58,27,60,16,59,7,465,12,30
21,Marcus Banks,PG,24,BOS,18,269,97%,3%,,,,-6.7,-5.4,9,8,11,3,12,2,68,4,4
21,Marcus Banks,PG,24,MIN,40,1228,99%,2%,,,,-4.1,-2.9,49,19,49,13,47,5,397,8,26
22,Leandro Barbosa,SG,23,PHO,57,1592,6%,93%,1%,,,3.1,-4.8,35,25,54,16,64,16,382,13,33
23,Matt Barnes,PF-SF,25,TOT,56,631,,1%,55%,43%,1%,1.8,5.5,14,11,47,3,16,5,61,3,17
23,Matt Barnes,SF,25,NYK,6,93,,6%,94%,,,-20.3,-13.7,4,1,5,0,1,0,13,0,5
23,Matt Barnes,PF,25,PHI,50,538,,,48%,50%,2%,5.7,8.8,10,10,42,3,15,5,48,3,12
24,Andre Barrett,PG,23,TOT,19,282,100%,,,,,-5.2,-2.4,7,6,5,0,5,2,125,2,11
24,Andre Barrett,PG,23,PHO,2,21,100%,,,,,-31.8,-38.0,0,0,0,0,1,0,4,1,0
24,Andre Barrett,PG,23,TOR,17,261,100%,,,,,-3.0,0.5,7,6,5,0,4,2,121,1,11
25,Earl Barron,C,24,MIA,8,45,,,,,100%,-42.1,-46.9,3,1,5,0,1,1,0,0,1
26,Brent Barry,SG,34,SAS,74,1259,3%,91%,6%,,,10.6,3.6,31,14,47,5,22,7,278,5,12
27,Jon Barry,SG,36,HOU,20,342,1%,62%,36%,2%,,-8.1,-7.3,15,6,11,1,9,1,63,1,2
28,Eddie Basden,SF,22,CHI,19,141,,23%,73%,4%,,9.6,9.0,5,2,6,0,2,0,19,0,3
