Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Mahmoud Abdul-Rauf,PG,31,VAN,41,486,100%,,,,,-1.5,5.2,15,7,23,1,8,,162,0,6
2,Tariq Abdul-Wahad,SG,26,DEN,29,420,,96%,4%,,,-9.9,-8.5,13,12,23,7,13,,45,2,10
3,Shareef Abdur-Rahim,SF,24,VAN,81,3241,,2%,78%,21%,,-7.0,-5.1,70,81,93,41,198,,556,48,151
4,Cory Alexander,PG,27,ORL,26,227,74%,26%,,,,-8.6,-10.2,21,3,15,0,6,,80,2,2
5,Courtney Alexander,PG,23,TOT,65,1382,16%,72%,13%,,,-10.3,-8.3,25,31,54,9,58,,131,15,35
5,Courtney Alexander,PG,23,DAL,38,472,39%,49%,13%,,,-11.2,-17.9,8,5,23,4,20,,46,5,12
5,Courtney Alexander,PG,23,WAS,27,910,4%,83%,13%,,,-9.8,-3.4,17,26,31,5,38,,85,10,23
6,Ray Allen*,SG,25,MIL,82,3129,,90%,10%,,,5.4,6.3,96,76,100,17,139,,846,32,54
7,Rafer Alston,PG,24,MIL,37,288,46%,54%,,,,-5.8,-10.7,13,3,12,2,7,,155,3,3
8,John Amaechi,C,30,ORL,82,1710,,,,25%,76%,-5.8,-11.9,52,40,109,18,121,,171,25,65
9,Derek Anderson,SG,26,SAS,82,2859,,76%,24%,,,11.7,10.3,86,41,74,20,133,,674,19,53
10,Kenny Anderson,PG,30,BOS,33,849,100%,,,,,-4.9,-3.1,25,13,21,6,27,,322,6,13
11,Nick Anderson,SG,33,SAC,21,169,,21%,79%,,,1.5,-4.9,7,0,6,0,0,,28,0,2
12,Shandon Anderson,SG,27,HOU,82,2396,,22%,76%,2%,,0.1,-6.3,70,32,97,16,90,,423,22,39
13,Greg Anthony,PG,33,POR,58,856,94%,6%,,,,0.3,-5.5,25,11,20,1,10,,172,1,4
14,Darrell Armstrong,PG,32,ORL,75,2767,100%,1%,,,,3.9,9.4,141,35,42,7,55,,1149,9,41
15,Chucky Atkins,PG,26,DET,81,2363,100%,,,,,-1.9,-0.3,94,39,44,8,36,,711,8,29
16,Stacey Augmon,SG,32,POR,66,1182,1%,58%,41%,,,2.5,-2.9,13,21,44,11,38,,217,8,13
17,Isaac Austin,C,31,VAN,52,845,,,,1%,99%,-5.6,0.6,27,12,46,10,16,,127,4,12
18,William Avery,PG,21,MIN,55,463,97%,3%,,,,-5.6,-8.2,26,5,15,5,15,,165,4,11
19,Dalibor Bagarić,C,20,CHI,35,259,,,,,100%,-13.7,-3.6,7,3,24,4,14,,24,3,10
20,Vin Baker,PF,29,SEA,76,2129,,,,53%,47%,-1.2,-2.5,32,43,95,58,141,,221,25,85
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
21,Erick Barkley,PG,22,POR,8,38,55%,45%,,,,-8.7,-13.4,2,3,0,0,0,,14,0,2
22,Dana Barros,PG,33,DET,60,1079,74%,26%,,,,-3.6,-2.5,33,19,21,1,13,,234,3,11
23,Brent Barry,SG,29,SEA,67,1778,1%,90%,9%,,,2.2,4.1,58,18,63,6,39,,489,8,13
24,Jon Barry,SG,31,SAC,62,1010,4%,93%,3%,,,4.9,-1.8,38,7,31,5,22,,286,3,4
25,Tony Battie,C,24,BOS,40,845,,,,6%,94%,-1.9,0.7,12,9,71,4,27,,36,7,7
