No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,3,Arizona
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,12,NC State
13,Doug Christie,SG,6-6,200,"May 9, 1970",us US,9,Pepperdine
8,Mateen Cleaves,PG,6-2,205,"September 7, 1977",us US,1,Michigan State
21,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,12,
51,Lawrence Funderburke,PF,6-9,230,"December 15, 1970",us US,4,"Indiana, Ohio State"
24,Bobby Jackson,PG,6-1,185,"March 13, 1973",us US,4,Minnesota
31,Scot Pollard,C,6-11,265,"February 12, 1975",us US,4,Kansas
25,Brent Price,PG,6-1,165,"December 9, 1968",us US,8,"South Carolina, Oklahoma"
52,Jabari Smith,C,6-11,250,"February 12, 1977",us US,1,LSU
16,Peja Stojaković,SF,6-10,229,"June 9, 1977",hr HR,3,
5,Hedo Türkoğlu,SF,6-10,220,"March 19, 1979",tr TR,1,
3,Gerald Wallace,SF,6-7,215,"July 23, 1982",us US,R,Alabama
4,Chris Webber,PF,6-10,245,"March 1, 1973",us US,8,Michigan
