No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
34,Ray Allen,SG,6-5,205,"July 20, 1975",us US,5,UConn
11,Rafer Alston,PG,6-2,171,"July 24, 1976",us US,2,Fresno State
50,Greg Anthony,PG,6-0,176,"November 15, 1967",us US,10,"University of Portland, UNLV"
35,Jason Caffey,PF,6-8,255,"June 12, 1973",us US,6,Alabama
10,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,8,Florida State
44,Greg Foster,PF,6-11,240,"October 3, 1968",us US,11,"UCLA, Texas-El Paso"
21,Darvin Ham,SF,6-7,220,"July 23, 1973",us US,4,Texas Tech
40,Ervin Johnson,C,6-11,245,"December 21, 1967",us US,8,New Orleans
17,Anthony Mason,PF,6-8,250,"December 14, 1966",us US,11,Tennessee State
41,Mark Pope,PF,6-10,235,"September 11, 1972",us US,3,"Washington, Kentucky"
"6, 45",Joel Przybilla,C,7-1,255,"October 10, 1979",us US,1,Minnesota
22,Michael Redd,SG,6-6,220,"August 24, 1979",us US,1,Ohio State
13,Glenn Robinson,SF,6-7,225,"January 10, 1973",us US,7,Purdue
5,Tim Thomas,SF,6-10,230,"February 26, 1977",us US,4,Villanova
