No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Greg Anthony,PG,6-0,176,"November 15, 1967",us US,10,"University of Portland, UNLV"
44,Dalibor Bagarić,C,7-1,255,"February 7, 1980",de DE,1,
6,Travis Best,PG,5-11,182,"July 12, 1972",us US,6,Georgia Tech
3,Tyson Chandler,C,7-0,235,"October 2, 1982",us US,R,
1,Jamal Crawford,PG,6-5,185,"March 20, 1980",us US,1,Michigan
2,Eddy Curry,C,7-0,295,"December 5, 1982",us US,R,
21,Marcus Fizer,PF,6-9,262,"August 10, 1978",us US,1,Iowa State
11,A.J. Guyton,PG,6-1,180,"February 12, 1978",us US,1,Indiana
22,Trenton Hassell,SG,6-5,200,"March 4, 1979",us US,R,Austin Peay State University
20,Fred Hoiberg,SG,6-4,203,"October 15, 1972",us US,6,Iowa State
5,Ron Mercer,SG,6-7,210,"May 18, 1976",us US,4,Kentucky
40,Brad Miller,C,6-11,244,"April 12, 1976",us US,3,Purdue
34,Charles Oakley,PF,6-9,225,"December 18, 1963",us US,16,Virginia Union University
12,Kevin Ollie,PG,6-4,195,"December 27, 1972",us US,4,UConn
31,Norm Richardson,SG,6-5,190,"July 24, 1979",us US,R,Hofstra
32,Eddie Robinson,SF,6-8,210,"April 19, 1976",us US,2,University of Central Oklahoma
5,Jalen Rose,SF,6-8,210,"January 30, 1973",us US,7,Michigan
15,Metta World Peace,SF,6-7,260,"November 13, 1979",us US,2,St. John's
