No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
41,Etdrick Bohannon,PF,6-9,220,"May 29, 1973",us US,3,"Arizona, Tennessee, Auburn University at Montgomery"
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,11,NC State
50,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,10,Virginia Tech
32,Chris Gatling,PF,6-10,220,"September 3, 1967",us US,9,Old Dominion
15,Matt Harpring,SG,6-7,231,"May 31, 1976",us US,2,Georgia Tech
17,Michael Hawkins,PG,6-0,178,"October 28, 1972",us US,3,Xavier
45,Cedric Henderson,SF,6-7,215,"March 11, 1975",us US,3,Memphis
11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",lt LT,2,
2,Jim Jackson,SF,6-6,220,"October 14, 1970",us US,8,Ohio State
10,Anthony Johnson,PG,6-3,190,"October 2, 1974",us US,3,College of Charleston
12,Brevin Knight,PG,5-10,173,"November 8, 1975",us US,3,Stanford
21,Trajan Langdon,SG,6-3,197,"May 13, 1976",us US,1,Duke
4,Chris Mihm,C,7-0,265,"July 16, 1979",us US,R,Texas
24,Andre Miller,PG,6-3,200,"March 19, 1976",us US,1,Utah
30,Lamond Murray,SF,6-7,236,"April 20, 1973",us US,6,California
1,Wesley Person,SG,6-6,195,"March 28, 1971",us US,6,Auburn
31,J.R. Reid,PF,6-9,247,"March 31, 1968",us US,10,UNC
20,Larry Robinson,SG,6-3,180,"January 11, 1968",us US,5,Centenary (LA)
54,Robert Traylor,C,6-8,284,"February 1, 1977",us US,2,Michigan
35,Clarence Weatherspoon,PF,6-6,240,"September 8, 1970",us US,8,Southern Miss
