No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
40,Shandon Anderson,SG,6-6,208,"December 31, 1973",us US,4,Georgia
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,9,"Colorado, Iowa"
13,Kelvin Cato,C,6-11,255,"August 26, 1974",us US,3,"University of South Alabama, Iowa State"
52,Jason Collier,C,7-0,260,"September 8, 1977",us US,R,"Indiana, Georgia Tech"
20,Sean Colson,PG,6-0,175,"July 1, 1975",us US,R,"Rhode Island, UNC Charlotte"
3,Steve Francis,PG,6-3,195,"February 21, 1977",us US,1,Maryland
14,Dan Langhi,SF,6-11,220,"November 28, 1977",us US,R,Vanderbilt
9,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,6,Michigan State
5,Cuttino Mobley,SG,6-4,190,"September 1, 1975",us US,2,Rhode Island
12,Moochie Norris,PG,6-1,175,"July 27, 1973",us US,3,"Auburn, University of West Florida"
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,16,Houston
6,Carlos Rogers,C,6-11,220,"February 6, 1971",us US,6,"Little Rock, Tennessee State"
2,Maurice Taylor,SF,6-9,260,"October 30, 1976",us US,3,"Michigan, LSU"
21,Kenny Thomas,PF,6-7,261,"July 25, 1977",us US,1,New Mexico
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,8,Maryland
