No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Jonathan Bender,SF,6-11,202,"January 30, 1981",us US,1,
4,Travis Best,PG,5-11,182,"July 12, 1972",us US,5,Georgia Tech
44,Austin Croshere,PF,6-9,235,"May 1, 1975",us US,3,Providence
2,Tyus Edney,PG,5-10,152,"February 14, 1973",us US,3,UCLA
10,Jeff Foster,C,6-11,236,"January 16, 1977",us US,1,Texas State University
3,Al Harrington,PF,6-9,230,"February 17, 1980",us US,2,
8,Lari Ketner,PF,6-9,277,"February 1, 1977",us US,1,UMass
9,Derrick McKey,SF,6-9,205,"October 10, 1966",us US,13,Alabama
31,Reggie Miller,SG,6-7,185,"August 24, 1965",us US,13,UCLA
6,Terry Mills,PF,6-10,230,"December 21, 1967",us US,10,Michigan
7,Jermaine O'Neal,C,6-11,226,"October 13, 1978",us US,4,
14,Sam Perkins,PF,6-9,235,"June 14, 1961",us US,16,UNC
5,Jalen Rose,SF,6-8,210,"January 30, 1973",us US,6,Michigan
40,Bruno Šundov,C,7-2,220,"February 10, 1980",hr HR,2,
55,Žan Tabak,C,7-0,245,"June 15, 1970",hr HR,5,
