No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",us US,1,UCLA
11,Michael Beasley,PF,6-9,235,"January 9, 1989",us US,10,Kansas State
17,Isaac Bonga,PG,6-8,180,"November 8, 1999",de DE,R,
35,Reggie Bullock,SG,6-6,205,"March 16, 1991",us US,5,UNC
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,5,Georgia
4,Alex Caruso,PG,6-5,186,"February 28, 1994",us US,1,Texas A&M
5,Tyson Chandler,C,7-0,235,"October 2, 1982",us US,17,
3,Josh Hart,SG,6-4,215,"March 6, 1995",us US,1,Villanova
20,Andre Ingram,SG,6-3,190,"November 19, 1985",us US,1,American University
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us US,2,Duke
23,LeBron James,SF,6-9,250,"December 30, 1984",us US,15,
10,Jemerrio Jones,SF,6-5,174,"April 9, 1995",us US,R,"Hill College, New Mexico State"
0,Kyle Kuzma,PF,6-9,221,"July 24, 1995",us US,1,Utah
10,Scott Machado,PG,6-1,205,"June 8, 1990",us US,1,Iona College
7,JaVale McGee,C,7-0,270,"January 19, 1988",us US,10,Nevada
31,Mike Muscala,PF,6-10,240,"July 1, 1991",us US,5,Bucknell
10,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,R,Kansas
9,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,12,Kentucky
6,Lance Stephenson,SG,6-6,230,"September 5, 1990",us US,8,Cincinnati
15,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,R,Michigan
19,Johnathan Williams,C,6-9,228,"May 22, 1995",us US,R,"Missouri, Gonzaga"
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,2,
