No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb GB,1,Indiana
25,Chris Boucher,PF,6-9,200,"January 11, 1993",lc LC,1,Oregon
4,Lorenzo Brown,PG,6-5,189,"August 26, 1990",us US,4,NC State
33,Marc Gasol,C,6-11,255,"January 29, 1985",es ES,10,
14,Danny Green,SG,6-6,215,"June 22, 1987",us US,9,UNC
9,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,9,
2,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us US,7,San Diego State
17,Jeremy Lin,PG,6-3,200,"August 23, 1988",us US,8,Harvard University
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,12,Villanova
8,Jordan Loyd,PG,6-4,210,"July 27, 1993",us US,R,"Furman University, University of Indianapolis"
1,Patrick McCaw,SG,6-7,181,"October 25, 1995",us US,2,UNLV
20,Jodie Meeks,SG,6-4,210,"August 21, 1987",us US,9,Kentucky
0,C.J. Miles,SF,6-6,220,"March 18, 1987",us US,13,
13,Malcolm Miller,SF,6-7,210,"March 6, 1993",us US,1,Holy Cross
15,Greg Monroe,C,6-11,265,"June 4, 1990",us US,8,Georgetown
15,Eric Moreland,PF,6-10,238,"December 24, 1991",us US,3,Oregon State
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,3,UCLA
22,Malachi Richardson,SG,6-6,205,"January 5, 1996",us US,2,Syracuse
43,Pascal Siakam,PF,6-8,230,"April 2, 1994",cm CM,2,New Mexico State
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,6,
23,Fred VanVleet,PG,6-0,197,"February 25, 1994",us US,2,Wichita State
55,Delon Wright,PG,6-5,185,"April 26, 1992",us US,3,Utah
