No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
46,Aron Baynes,C,6-10,260,"December 9, 1986",nz NZ,6,Washington State
7,Jaylen Brown,SG,6-6,223,"October 24, 1996",us US,2,California
50,PJ Dozier,SG,6-6,205,"October 25, 1996",us US,1,South Carolina
20,Gordon Hayward,PF,6-7,225,"March 23, 1990",us US,8,Butler
42,Al Horford,C,6-9,240,"June 3, 1986",do DO,11,Florida
28,R.J. Hunter,SG,6-5,185,"October 24, 1993",us US,3,Georgia State University
11,Kyrie Irving,PG,6-2,195,"March 23, 1992",au AU,7,Duke
55,Greg Monroe,C,6-11,265,"June 4, 1990",us US,8,Georgetown
13,Marcus Morris,PF,6-8,218,"September 2, 1989",us US,7,Kansas
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,1,"Duke, SMU"
12,Terry Rozier,PG,6-1,190,"March 17, 1994",us US,3,Louisville
36,Marcus Smart,SG,6-3,220,"March 6, 1994",us US,4,Oklahoma State
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,1,Duke
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,1,
9,Brad Wanamaker,PG,6-3,210,"July 25, 1989",us US,R,Pitt
44,Robert Williams,C,6-9,237,"October 17, 1997",us US,R,Texas A&M
30,Guerschon Yabusele,PF,6-8,260,"December 17, 1995",fr FR,1,
