No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Trevor Ariza,SF,6-8,215,"June 30, 1985",us US,14,UCLA
84,Ron Baker,SG,6-4,220,"March 30, 1993",us US,2,Wichita State
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,6,Florida
6,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us US,R,Oregon
13,Thomas Bryant,C,6-10,248,"July 31, 1997",us US,1,Indiana
8,Sam Dekker,PF,6-9,230,"May 6, 1994",us US,3,Wisconsin
32,Jeff Green,PF,6-8,235,"August 28, 1986",us US,10,Georgetown
21,Dwight Howard,C,6-10,265,"December 8, 1985",us US,14,
20,John Jenkins,SG,6-4,215,"March 6, 1991",us US,5,Vanderbilt
4,Wesley Johnson,SF,6-7,215,"July 11, 1987",us US,8,"Iowa State, Syracuse"
28,Ian Mahinmi,C,6-11,262,"November 5, 1986",fr FR,10,
52,Jordan McRae,SG,6-5,179,"March 28, 1991",us US,2,Tennessee
5,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,7,Kansas
12,Kelly Oubre Jr.,SF,6-7,203,"December 9, 1995",us US,3,Kansas
12,Jabari Parker,PF,6-8,245,"March 15, 1995",us US,4,Duke
4,Gary Payton II,PG,6-2,190,"December 1, 1992",us US,2,Oregon State
22,Otto Porter Jr.,SF,6-8,198,"June 3, 1993",us US,5,Georgetown
5,Bobby Portis,PF,6-10,250,"February 10, 1995",us US,3,Arkansas
9,Chasson Randle,PG,6-2,185,"February 5, 1993",us US,1,Stanford
1,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,6,Duke
7,Devin Robinson,SF,6-8,200,"March 7, 1995",us US,1,Florida
31,Tomáš Satoranský,PG,6-7,210,"October 30, 1991",cz CZ,2,
14,Jason Smith,C,7-0,240,"March 2, 1986",us US,10,Colorado State
2,John Wall,PG,6-3,210,"September 6, 1990",us US,8,Kentucky
15,Okaro White,PF,6-8,205,"August 13, 1992",us US,2,Florida State
