No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
"31, 33",Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us US,R,Ohio State
8,Jerryd Bayless,PG,6-3,200,"August 20, 1988",us US,10,Arizona
23,Jimmy Butler,SG,6-7,230,"September 14, 1989",us US,7,Marquette
7,Isaiah Canaan,PG,6-0,201,"May 21, 1991",us US,5,Murray State
33,Robert Covington,SF,6-7,209,"December 14, 1990",us US,5,Tennessee State
55,Mitch Creek,SF,6-5,216,"April 27, 1992",au AU,R,
9,Luol Deng,SF,6-9,237,"April 16, 1985",ss SS,14,Duke
5,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,5,Louisville
67,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,9,USC
1,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,3,Duke
7,James Nunnally,SF,6-7,208,"July 14, 1990",us US,1,UC Santa Barbara
20,Josh Okogie,SG,6-4,213,"September 1, 1998",ng NG,R,Georgia Tech
13,Cameron Reynolds,SG,6-7,225,"February 7, 1995",us US,R,Tulane
25,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,9,Memphis
36,Dario Šarić,PF,6-10,225,"April 8, 1994",hr HR,2,
0,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,9,Wake Forest
3,Jared Terrell,SG,6-3,227,"February 10, 1995",us US,R,Rhode Island
43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",us US,10,Creighton
32,Karl-Anthony Towns,C,7-0,248,"November 15, 1995",us US,3,Kentucky
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca CA,4,Kansas
12,C.J. Williams,SG,6-5,226,"February 6, 1990",us US,1,NC State
