No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Matt Barnes,SF,6-7,226,"March 9, 1980",us US,R,UCLA
42,Elton Brand,PF,6-9,275,"March 11, 1979",us US,4,Duke
1,Keyon Dooling,PG,6-3,196,"May 8, 1980",us US,3,Missouri
14,Predrag Drobnjak,C,6-11,270,"October 27, 1975",me ME,2,
2,Melvin Ely,PF,6-10,260,"May 2, 1978",us US,1,Fresno State
5,Eddie House,SG,6-1,180,"May 14, 1978",us US,3,Arizona State
20,Marko Jarić,PG,6-7,198,"October 12, 1978",rs RS,1,
35,Chris Kaman,C,7-0,265,"April 28, 1982",us US,R,Central Michigan University
9,Randy Livingston,PG,6-4,209,"April 2, 1975",us US,7,LSU
50,Corey Maggette,SF,6-6,218,"November 12, 1979",us US,4,Duke
24,Doug Overton,PG,6-3,190,"August 3, 1969",us US,10,La Salle
30,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,14,Virginia
41,Glen Rice,SF,6-8,215,"May 28, 1967",us US,14,Michigan
3,Quentin Richardson,SG,6-6,223,"April 13, 1980",us US,3,DePaul
21,Bobby Simmons,SF,6-7,210,"June 2, 1980",us US,2,DePaul
54,Chris Wilcox,C,6-10,221,"September 3, 1982",us US,1,Maryland
16,Wang Zhizhi,C,7-0,255,"July 8, 1977",cn CN,3,
