No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Travis Best,PG,5-11,182,"July 12, 1972",us US,8,Georgia Tech
44,Shawn Bradley,C,7-6,235,"March 22, 1972",de DE,10,BYU
6,Marquis Daniels,SG,6-6,200,"January 7, 1981",us US,R,Auburn
7,Tony Delk,SG,6-1,189,"January 28, 1974",us US,7,Kentucky
4,Michael Finley,SG,6-7,215,"March 6, 1973",us US,8,Wisconsin
21,Danny Fortson,C,6-7,260,"March 27, 1976",us US,6,Cincinnati
5,Josh Howard,SF,6-7,210,"April 28, 1980",us US,R,Wake Forest
33,Antawn Jamison,SF,6-9,223,"June 12, 1976",us US,5,UNC
34,Mamadou N'Diaye,C,7-0,255,"June 16, 1975",sn SN,3,Auburn
14,Eduardo Nájera,SF,6-8,240,"July 11, 1976",mx MX,3,Oklahoma
13,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,7,Santa Clara
41,Dirk Nowitzki,C,7-0,245,"June 19, 1978",de DE,5,
8,Antoine Walker,PF,6-9,224,"August 12, 1976",us US,7,Kentucky
42,Scott Williams,C,6-10,230,"March 21, 1968",us US,13,UNC
