No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
10,Mike Bibby,PG,6-1,190,"May 13, 1978",us US,5,Arizona
32,Rodney Buford,SF,6-5,189,"November 2, 1977",us US,3,Creighton
13,Doug Christie,SG,6-6,200,"May 9, 1970",us US,11,Pepperdine
21,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,14,
24,Bobby Jackson,SG,6-1,185,"March 13, 1973",us US,6,Minnesota
34,Tony Massenburg,PF,6-9,220,"July 31, 1967",us US,11,Maryland
52,Brad Miller,PF,6-11,244,"April 12, 1976",us US,5,Purdue
8,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,11,Missouri
55,Jabari Smith,C,6-11,250,"February 12, 1977",us US,2,LSU
25,Darius Songaila,PF,6-9,248,"February 14, 1978",lt LT,R,Wake Forest
16,Peja Stojaković,SF,6-10,229,"June 9, 1977",hr HR,5,
3,Gerald Wallace,SF,6-7,215,"July 23, 1982",us US,2,Alabama
4,Chris Webber,PF,6-10,245,"March 1, 1973",us US,10,Michigan
