No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Shane Battier,SF,6-8,220,"September 9, 1978",us US,2,Duke
3,Troy Bell,PG,6-1,180,"November 10, 1980",us US,R,Boston College
16,Pau Gasol,PF,7-0,250,"July 6, 1980",es ES,2,
40,Ryan Humphrey,PF,6-8,235,"July 24, 1979",us US,1,"Oklahoma, Notre Dame"
30,Dahntay Jones,SG,6-6,225,"December 27, 1980",us US,R,"Rutgers University, Duke"
33,Mike Miller,SF,6-8,218,"February 19, 1980",us US,3,Florida
45,Bo Outlaw,PF,6-8,210,"April 13, 1971",us US,10,"South Plains College, Houston"
1,Wesley Person,SG,6-6,195,"March 28, 1971",us US,9,Auburn
41,James Posey,SG,6-8,215,"January 13, 1977",us US,4,Xavier
0,Theron Smith,SF,6-8,225,"October 3, 1980",us US,R,Ball State University
4,Stromile Swift,PF,6-9,225,"November 21, 1979",us US,3,LSU
12,Jake Tsakalidis,C,7-2,285,"June 10, 1979",ge GE,3,
25,Earl Watson,PG,6-1,195,"June 12, 1979",us US,2,UCLA
6,Bonzi Wells,SG,6-5,210,"September 28, 1976",us US,5,Ball State University
2,Jason Williams,PG,6-1,190,"November 18, 1975",us US,5,"Marshall, Florida"
42,Lorenzen Wright,C,6-11,225,"November 4, 1975",us US,7,Memphis
