No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,J.R. Bremer,PG,6-2,185,"September 19, 1980",us US,1,St. Bonaventure
35,Brian Cardinal,PF,6-8,245,"May 2, 1977",us US,3,Purdue
40,Calbert Cheaney,SF,6-7,209,"July 17, 1971",us US,10,Indiana
10,Speedy Claxton,PG,5-11,166,"May 8, 1978",us US,2,Hofstra
25,Erick Dampier,C,6-11,265,"July 14, 1975",us US,7,Mississippi State
34,Mike Dunleavy,SF,6-9,230,"September 15, 1980",us US,1,Duke
31,Adonal Foyle,C,6-10,250,"March 9, 1975",vc VC,6,Colgate
6,Avery Johnson,PG,5-10,175,"March 25, 1965",us US,15,"Cameron University, Southern University and A&M College"
54,Popeye Jones,PF,6-8,250,"June 17, 1970",us US,10,Murray State
21,Sean Lampley,SF,6-7,227,"September 3, 1979",us US,1,California
7,Dan Langhi,SF,6-11,220,"November 28, 1977",us US,3,Vanderbilt
5,Rusty LaRue,PG,6-2,210,"December 10, 1973",us US,4,Wake Forest
1,Troy Murphy,PF,6-11,245,"May 2, 1980",us US,2,Notre Dame
44,Cherokee Parks,C,6-11,235,"October 11, 1972",us US,8,Duke
2,Mickaël Piétrus,PG,6-6,215,"February 7, 1982",gp GP,R,
23,Jason Richardson,SG,6-6,220,"January 20, 1981",us US,2,Michigan State
3,Clifford Robinson,PF,6-10,225,"December 16, 1966",us US,14,UConn
37,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,10,"Trinity Valley CC, Cincinnati"
