No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
32,Torraye Braggs,PF,6-8,245,"May 15, 1976",us US,R,Xavier
13,Kelvin Cato,PF,6-11,255,"August 26, 1974",us US,6,"University of South Alabama, Iowa State"
1,Alton Ford,PF,6-9,275,"May 29, 1981",us US,2,Houston
3,Steve Francis,PG,6-3,195,"February 21, 1977",us US,4,Maryland
7,Adrian Griffin,SG,6-5,217,"July 4, 1974",us US,4,Seton Hall
21,Jim Jackson,SF,6-6,220,"October 14, 1970",us US,11,Ohio State
31,Mark Jackson,PG,6-1,180,"April 1, 1965",us US,16,St. John's
11,Yao Ming,C,7-6,310,"September 12, 1980",cn CN,1,
5,Cuttino Mobley,SG,6-4,190,"September 1, 1975",us US,5,Rhode Island
9,Boštjan Nachbar,SF,6-9,221,"July 3, 1980",si SI,1,
12,Moochie Norris,PG,6-1,175,"July 27, 1973",us US,6,"Auburn, University of West Florida"
33,Charles Oakley,PF,6-9,225,"December 18, 1963",us US,18,Virginia Union University
35,Scott Padgett,PF,6-9,240,"April 19, 1976",us US,4,Kentucky
52,Eric Piatkowski,SF,6-7,215,"September 30, 1970",us US,9,Nebraska
2,Maurice Taylor,PF,6-9,260,"October 30, 1976",us US,5,"Michigan, LSU"
30,Clarence Weatherspoon,PF,6-6,240,"September 8, 1970",us US,11,Southern Miss
29,Mike Wilks,PG,5-10,185,"May 7, 1979",us US,1,Rice University
